breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Age Group,Young,0.9522096477271852,0.1111111111111111,Attribution,Point,0.1058010719696872,Count of persons,172,77,"[-0.010671602011343047, -0.15563994669885114]","[0.024114055930355743, 0.0024273290732200843]","[0.0204514995647816, 0.0018793241422736325]","[4.01358699798584, 11.332416534423828]",4.01358699798584,11.332416534423828,"[1.1621759899092812, 2.05149002458046]","[0.02592746066879197, -0.011927227975213296]","[6.840838818246691, -1.2767464198389198]","[14.131272315979004, 4.75169038772583]"
Marital Status,Never married,0.9506161288155656,0.1111111111111111,Attribution,Point,0.1056240143128406,Count of persons,179,77,"[-0.010671602011343047, -0.15563994669885114]","[0.024114055930355753, 0.0024273290732200734]","[0.02045149956478162, 0.0018793241422736507]","[4.557806015014648, 10.090465545654297]",4.557806015014648,10.090465545654297,"[1.1653752263818056, 2.050716190770418]","[0.025927460668791966, -0.011927227975213303]","[6.840838818246691, -1.2767464198389191]","[14.776857376098633, 5.474590301513672]"
Age Group,Young;*,1.0,0.1111111111111111,Correlation,Compound Shape,0.1111111111111111,Count of persons,253,77,"[-0.010671602011343047, -0.15563994669885114]","[0.02411405593035575, 0.002427329073220061]","[0.020451499564781598, 0.0018793241422736396]","[4.1021647453308105, 9.840717315673828]",4.1021647453308105,9.840717315673828,"[1.1621759899092812, 2.05149002458046]","[0.025696857114169167, -0.011759180985538078]","[6.840838818246698, -1.276746419838919]","[13.67178726196289, 6.133763313293457]"
Birthday,-1,0.0650161283608047,0.5,Trend,Shape,0.0325080641804023,Count of persons,13,392,"[0.21902773140540782, 0.4585237279835478]","[0.009146126268299448, 0.020128782366196408]","[0.021509225757232298, 0.0020044506847069973]","[4.119755744934082, -22.061538696289062]",4.119755744934082,-22.061538696289066,"[2.1007931452414796, 5.617843895662455]","[0.006315740727897778, -0.003785704176729879]","[-0.05719214033885639, -0.11222460346118897]","[-11.11872673034668, -11.318961143493652]"
Birthday,1989,0.977558100688646,0.5,Top1,Point,0.488779050344323,Count of persons,84,392,"[0.21902010581230366, 0.45852823044397556]","[0.009146126268299443, 0.020128782366196404]","[0.021509225757232325, 0.002004450684707019]","[4.993007659912109, -21.820695877075195]",4.9930076599121085,-21.820695877075195,"[2.1007931452489106, 5.617843895659908]","[0.006315740727897782, -0.003785704176729868]","[-0.05719214033885634, -0.11222460346118908]","[-11.11804485321045, -11.707131385803223]"
Marital Status,Married(a),0.984070294403505,0.5,Top1,Point,0.4920351472017525,Count of persons,89,392,"[0.21912337403846247, 0.45846724229938557]","[0.009146126268299458, 0.020128782366196394]","[0.02150922575723229, 0.0020044506847069973]","[4.667870044708252, -21.583702087402344]",4.667870044708252,-21.583702087402344,"[2.100793145344233, 5.617843895627312]","[0.0063157407278977935, -0.0037857041767298868]","[-0.057192140338856626, -0.11222460346118929]","[-11.406131744384766, -11.954888343811035]"
Birthday,1942,1.0,0.5,Change Point,Shape,0.5,Count of persons,105,392,"[0.21915311006510077, 0.45844967503812584]","[0.009146126268299448, 0.020128782366196387]","[0.021509225757232298, 0.0020044506847069973]","[5.009250640869141, -22.226085662841797]",5.0092506408691415,-22.2260856628418,"[2.1007931452615924, 5.617843895655571]","[0.006315740727897791, -0.003785704176729871]","[-0.05719214033885621, -0.11222460346118879]","[-11.421725273132324, -11.084118843078613]"
Birthday,1989,0.9947361257081999,0.5,Outlier,Shape,0.4973680628540999,Count of persons,153,392,"[0.21913715690619054, 0.458459100064452]","[0.009146126268299465, 0.02012878236619642]","[0.02150922575723231, 0.002004450684707019]","[4.309742450714111, -22.417936325073242]",4.309742450714111,-22.41793632507324,"[2.1007931452461572, 5.617843895660847]","[0.006315740727897795, -0.003785704176729871]","[-0.0571921403388559, -0.11222460346118822]","[-11.787856101989746, -11.181414604187012]"
Age Group,Middle Age,0.458366267265149,0.5,Attribution,Point,0.2291831336325745,Count of persons,182,392,"[0.21914105761795716, 0.45845679561685954]","[0.009146126268299425, 0.02012878236619642]","[0.02150922575723231, 0.0020044506847070155]","[4.277166843414307, -21.691741943359375]",4.277166843414307,-21.69174194335937,"[2.1007931452427315, 5.617843895662028]","[0.006315740727897772, -0.0037857041767298694]","[-0.057192140338856355, -0.11222460346118901]","[-11.943501472473145, -11.53042221069336]"
Marital Status,Married(a),0.4973005578804111,0.5,Attribution,Point,0.2486502789402055,Count of persons,193,392,"[0.21920026852256166, 0.4584218097815358]","[0.009146126268299448, 0.020128782366196404]","[0.02150922575723231, 0.0020044506847070043]","[4.706196308135986, -22.492156982421875]",4.706196308135986,-22.492156982421875,"[2.1007931451183715, 5.617843895704556]","[0.006315740727897781, -0.003785704176729868]","[-0.05719214033885626, -0.11222460346118886]","[-11.78033447265625, -11.876513481140137]"
