breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
date,2021/1/15,1.0,0.004183964,change point,shape,0.004183964,cases,111,88,"[-0.016638657281563184, -0.04457245605527937]","[-0.00908250060761963, 0.008209476908411117]","[-0.004472629752723827, -0.0007605487248656911]","[-5.457120418548584, -4.799354553222656]",-5.457120418548584,-4.799354553222656,"[-13.180007625926702, -1.048164923652632]","[-0.004831659913250901, -0.01933774722259105]","[-2.982795991065124, -1.9637229111901604]","[5.787459850311279, -2.562427043914795]"
date,2021/2/10,0.926672593,0.004183964,outlier,shape,0.003877164,cases,155,88,"[-0.016638657341781375, -0.0445724565002111]","[-0.009771671073414779, 0.009540388130942143]","[-0.004472629752723827, -0.0007605487248656911]","[-5.47004508972168, -4.81941556930542]",-5.47004508972168,-4.81941556930542,"[-13.180010709266647, -1.0481710970000488]","[-0.004831659913250888, -0.01933774722259107]","[-2.9827959910651227, -1.9637229111901604]","[5.7874627113342285, -2.562434196472168]"
date,-1,0.99460508,0.004183964,trend,shape,0.004161392,cases,9,154,"[-0.015645690913221974, -0.04491239898165843]","[-0.010035392899054016, 0.009474952879983801]","[-0.004461550820824736, -0.0004097079052686716]","[-1.782527208328247, -4.998379230499268]",-1.782527208328247,-4.998379230499268,"[-15.629514298250498, -5.355769295379751]","[-0.004930000302347134, -0.008952492783256511]","[-2.9827959910651267, -1.9637229111901617]","[0.689755916595459, -3.9596917629241943]"
date,2021/1/15,0.999999242,0.004183964,change point,shape,0.00418396,cases,103,154,"[-0.015645710957096073, -0.04491235564379583]","[-0.009884043951645778, 0.00910451609219829]","[-0.004461550820824738, -0.0004097079052686739]","[-1.7825273275375366, -4.998379230499268]",-1.7825273275375366,-4.998379230499268,"[-15.629514298604757, -5.355769296228412]","[-0.004930000302347164, -0.008952492783256532]","[-2.9827959910651276, -1.9637229111901615]","[0.6898006796836853, -3.9596900939941406]"
date,2021/2/10,0.931310161,0.004183964,outlier,shape,0.003896568,cases,178,154,"[-0.015645692216551984, -0.04491239625132089]","[-0.009959917566600543, 0.009280607482561543]","[-0.004461550820824738, -0.00040970790526867224]","[-1.7829527854919434, -4.998249530792236]",-1.7829527854919434,-4.998249530792236,"[-15.629514298607702, -5.355769296235435]","[-0.004930000302347152, -0.008952492783256532]","[-2.9827959910651276, -1.9637229111901617]","[0.6897711753845215, -3.959690809249878]"
date,-1,0.990638268,0.004183964,trend,shape,0.004144795,cases,10,72,"[-0.012658494001539667, -0.04564610008231314]","[-0.007708712962923367, 0.004703448484096858]","[-0.004405557725889362, -0.0010407615021382458]","[-0.5262338519096375, -1.2523725032806396]",-0.5262338519096375,-1.2523725032806396,"[-17.059367652093865, -2.049846161068101]","[-0.005122532498904865, 0.0012006141956606266]","[-2.9827959910651245, -1.9637229111901613]","[6.267110824584961, -4.98828649520874]"
date,2021/1/15,0.999715501,0.004183964,change point,shape,0.004182773,cases,100,72,"[-0.012658494033038058, -0.04564609988976941]","[-0.007868702112914258, 0.005318358118246759]","[-0.004405557725889363, -0.0010407615021382462]","[-0.5262337923049927, -1.2523726224899292]",-0.5262337923049927,-1.2523726224899292,"[-17.059367653313412, -2.0498461602966644]","[-0.005122532498904857, 0.0012006141956606205]","[-2.9827959910651245, -1.963722911190161]","[6.267110824584961, -4.98828649520874]"
date,2021/2/10,0.921499617,0.004183964,outlier,shape,0.0038555209999999,cases,153,72,"[-0.0126584940347449, -0.045646099879304555]","[-0.007473464906209629, 0.004579399975811504]","[-0.004405557725889361, -0.0010407615021382447]","[-0.5224961638450623, -1.2446647882461548]",-0.5224961638450623,-1.2446647882461548,"[-17.059367649809822, -2.0498461621490742]","[-0.0046019064095280705, -3.384322657254615e-06]","[-2.9827959910651254, -1.9637229111901608]","[6.267110824584961, -4.98828649520874]"
date,-1,0.974895645,0.005229955,trend,shape,0.00509866,cases,11,84,"[-0.011095959518790782, -0.045299515204456395]","[-0.009784091437132636, 0.009027351903929457]","[-0.004388178595815516, -0.0010984072914302617]","[4.497237205505371, -2.6298463344573975]",4.497237205505371,-2.6298463344573975,"[-10.54219120177097, -12.69133532233653]","[-0.004951398632410426, -0.005112949513203857]","[-2.8250581110971615, -2.1719656091043653]","[-3.748847007751465, -3.0038535594940186]"
date,2021/1/15,0.99999928,0.005229955,change point,shape,0.005229951,cases,119,84,"[-0.011134668664665816, -0.04520064951597288]","[-0.00978409143713267, 0.009027351903929464]","[-0.004388178595815514, -0.0010984072914302623]","[4.486713409423828, -2.6344404220581055]",4.486713409423828,-2.6344404220581055,"[-10.542422903715542, -12.69136089065197]","[-0.004951398632410426, -0.005112949513203851]","[-2.8250581110971615, -2.1719656091043658]","[-3.7484278678894043, -3.0041072368621826]"
