breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid
Body,sedan,0.59048461,0.092173913,top1,point,0.054427277,Mileage,374
Engine Type,Diesel,0.999192013,0.149813665,top1,point,0.149692617,Mileage,375
Engine Type,Diesel,0.941293036,0.110559006,top1,point,0.104068423,Mileage,376
Body,sedan,0.482946002,0.146583851,top1,point,0.070792085,Mileage,377
Engine Type,Diesel,0.988023142,0.063354037,top1,point,0.062595255,Mileage,378
Body,sedan,0.998889149,0.046708075,top1,point,0.046656189,Mileage,379
Body,van,0.20018751,0.20173913,top1,point,0.040385654,Mileage,380
Body,sedan,0.265136433,0.907826087,top1,point,0.24069777,Mileage,381
Model,X5,0.900416108,0.042981366,top1,point,0.038701115,Mileage,382
Body,sedan,0.439436096,0.076024845,top1,point,0.033408061,Mileage,383
Body,van,0.67693003,0.049689441,top1,point,0.033636275,Mileage,384
Body,sedan,0.744266876,0.364720497,top1,point,0.271449385,Mileage,385
Engine Type,Diesel,0.998038246,0.047701863,top1,point,0.047608284,Mileage,386
Body,van,0.927054043,0.113291925,top1,point,0.105027738,Mileage,387
Body,sedan,0.458643293,0.140621118,top1,point,0.064494933,Mileage,388
Engine Type,Diesel,0.991906426,0.061614907,top1,point,0.061116222,Mileage,389
Engine Type,Diesel,0.959086931,0.104347826,top1,point,0.100078636,Mileage,390
Body,sedan,0.998889149,0.046708075,top1,point,0.046656189,Mileage,391
Engine Type,Diesel,0.999165096,0.15552795,top1,point,0.155398099,Mileage,392
Engine Type,Diesel,0.997854679,0.045962733,top1,point,0.045864128,Mileage,393
Brand,Volkswagen,0.642689553,0.066583851,top1,point,0.042792745,Mileage,394
Model,X5,0.899745373,0.039751553,top1,point,0.035766276,Mileage,395
Engine Type,Diesel,0.998984675,0.03378882,top1,point,0.033754513,Mileage,396
Body,sedan,0.575590286,1.0,top1,point,0.575590286,Mileage,397
Body,sedan,0.695274844,0.346086957,top1,point,0.240625555,Mileage,398
Body,van,0.941413226,0.123975155,top1,point,0.116711851,Mileage,399
Year,2014,1.0,0.07378882,change point,shape,0.07378882,Mileage,400
Year,1996,1.0,0.074037267,change point,shape,0.074037267,Mileage,401
Year,1995,1.0,0.076024845,change point,shape,0.076024845,Mileage,402
Year,2002,1.0,0.083229814,change point,shape,0.083229814,Mileage,403
Year,2014,1.0,0.076273292,change point,shape,0.076273292,Mileage,404
Year,1993,1.0,0.078509317,change point,shape,0.078509317,Mileage,405
Year,2014,1.0,0.081490683,change point,shape,0.081490683,Mileage,406
Year,1999,1.0,0.100869565,change point,shape,0.100869565,Mileage,407
Year,2004,1.0,0.090186335,change point,shape,0.090186335,Mileage,408
Year,2015,1.0,0.088447205,change point,shape,0.088447205,Mileage,409
Year,2003,1.0,0.07826087,change point,shape,0.07826087,Mileage,410
Year,2007,1.0,0.092173913,change point,shape,0.092173913,Mileage,411
Year,2002,1.0,0.089689441,change point,shape,0.089689441,Mileage,412
Year,2013,1.0,0.092173913,change point,shape,0.092173913,Mileage,413
Year,2013,1.0,0.113291925,change point,shape,0.113291925,Mileage,414
Year,2014,1.0,0.104347826,change point,shape,0.104347826,Mileage,415
Year,1994,1.0,0.187826087,change point,shape,0.187826087,Mileage,416
Year,2002,1.0,0.110559006,change point,shape,0.110559006,Mileage,417
Year,1990,1.0,0.104347826,change point,shape,0.104347826,Mileage,418
Year,1999,1.0,0.094161491,change point,shape,0.094161491,Mileage,419
Year,2013,1.0,0.123975155,change point,shape,0.123975155,Mileage,420
Year,2014,1.0,0.111055901,change point,shape,0.111055901,Mileage,421
Year,2003,1.0,0.09515528,change point,shape,0.09515528,Mileage,422
Year,2009,1.0,0.140621118,change point,shape,0.140621118,Mileage,423
Year,1998,1.0,0.099627329,change point,shape,0.099627329,Mileage,424
Year,2013,1.0,0.097888199,change point,shape,0.097888199,Mileage,425
Year,1998,1.0,0.149813665,change point,shape,0.149813665,Mileage,426
Year,1985,1.0,0.159006211,change point,shape,0.159006211,Mileage,427
Year,2009,1.0,0.146583851,change point,shape,0.146583851,Mileage,428
Year,2013,1.0,0.20447205,change point,shape,0.20447205,Mileage,429
Year,2006,1.0,0.346086957,change point,shape,0.346086957,Mileage,430
Year,2013,1.0,1.0,change point,shape,1.0,Mileage,431
Year,1985,1.0,0.126708075,change point,shape,0.126708075,Mileage,432
Year,2006,1.0,0.364720497,change point,shape,0.364720497,Mileage,433
Year,2004,1.0,0.20173913,change point,shape,0.20173913,Mileage,434
Year,1996,1.0,0.381118012,change point,shape,0.381118012,Mileage,435
Year,2013,1.0,0.185838509,change point,shape,0.185838509,Mileage,436
Year,1998,1.0,0.21863354,change point,shape,0.21863354,Mileage,437
Year,1999,1.0,0.398509317,change point,shape,0.398509317,Mileage,438
Year,1999,1.0,0.462360248,change point,shape,0.462360248,Mileage,439
Year,1985,1.0,0.132919255,change point,shape,0.132919255,Mileage,440
Year,1999,1.0,0.15552795,change point,shape,0.15552795,Mileage,441
Year,2013,1.0,0.195031056,change point,shape,0.195031056,Mileage,442
Year,1991,1.0,0.204720497,change point,shape,0.204720497,Mileage,443
Year,1985,1.0,0.125714286,change point,shape,0.125714286,Mileage,444
Year,1998,1.0,0.135900621,change point,shape,0.135900621,Mileage,445
Year,1991,1.0,0.197515528,change point,shape,0.197515528,Mileage,446
Year,2013,1.0,0.907826087,change point,shape,0.907826087,Mileage,447
Year,1999,1.0,0.140869565,change point,shape,0.140869565,Mileage,448
Year,1984,1.0,0.337888199,change point,shape,0.337888199,Mileage,449
Year,2007,0.98603251,0.074037267,outlier,shape,0.073003152,Mileage,450
Year,2008,0.999975741,0.076273292,outlier,shape,0.076271442,Mileage,451
Year,1998,0.969246575,0.076024845,outlier,shape,0.07368682,Mileage,452
Year,2007,0.990276632,0.081490683,outlier,shape,0.080698319,Mileage,453
Year,2000,0.994224438,0.078509317,outlier,shape,0.078055881,Mileage,454
Year,2000,0.997928924,0.088447205,outlier,shape,0.088264024,Mileage,455
Year,2008,0.999973595,0.07378882,outlier,shape,0.073786872,Mileage,456
Year,2007,0.98762037,0.099627329,outlier,shape,0.09839398,Mileage,457
Year,2008,0.990729735,0.09515528,outlier,shape,0.094273165,Mileage,458
Year,2008,0.991274989,0.090186335,outlier,shape,0.089399459,Mileage,459
Year,2012,0.999395369,0.07826087,outlier,shape,0.078213551,Mileage,460
Year,2000,0.989206395,0.092173913,outlier,shape,0.091179024,Mileage,461
Year,2007,0.990388822,0.097888199,outlier,shape,0.096947378,Mileage,462
Year,2007,0.993905627,0.092173913,outlier,shape,0.091612171,Mileage,463
Year,2001,0.997500267,0.089689441,outlier,shape,0.089465241,Mileage,464
Year,2003,0.976235723,0.104347826,outlier,shape,0.101868075,Mileage,465
Year,2001,0.986548948,0.132919255,outlier,shape,0.131131351,Mileage,466
Year,2012,0.999724359,0.110559006,outlier,shape,0.110528532,Mileage,467
Year,2012,0.999799617,0.104347826,outlier,shape,0.104326917,Mileage,468
Year,2011,0.9782309,0.094161491,outlier,shape,0.09211168,Mileage,469
Year,2012,0.992440651,0.15552795,outlier,shape,0.15435226,Mileage,470
Year,2007,0.981803232,0.111055901,outlier,shape,0.109035042,Mileage,471
Year,2012,0.999495009,0.083229814,outlier,shape,0.083187783,Mileage,472
Year,2007,0.999072585,0.185838509,outlier,shape,0.18566616,Mileage,473
Year,2011,0.988442419,0.113291925,outlier,shape,0.111982545,Mileage,474
Year,2011,0.981723166,0.123975155,outlier,shape,0.121709282,Mileage,475
Year,2001,0.996435309,0.100869565,outlier,shape,0.100509996,Mileage,476
Year,2001,0.990621084,0.159006211,outlier,shape,0.157514905,Mileage,477
Year,2008,0.998984098,0.146583851,outlier,shape,0.146434936,Mileage,478
Year,2007,0.98532859,0.20447205,outlier,shape,0.201472156,Mileage,479
Year,2012,0.993712686,0.140869565,outlier,shape,0.139983874,Mileage,480
Year,2008,0.994837838,1.0,outlier,shape,0.994837838,Mileage,481
Year,2008,0.99987734,0.126708075,outlier,shape,0.126692533,Mileage,482
Year,2008,0.99908506,0.364720497,outlier,shape,0.3643868,Mileage,483
Year,2007,0.99228495,0.187826087,outlier,shape,0.186376999,Mileage,484
Year,2007,0.99171938,0.381118012,outlier,shape,0.377962119,Mileage,485
Year,2011,0.9929508,0.20173913,outlier,shape,0.200317031,Mileage,486
Year,2011,0.989196306,0.21863354,outlier,shape,0.216271491,Mileage,487
Year,2008,0.999302315,0.140621118,outlier,shape,0.140523009,Mileage,488
Year,2012,0.974426799,0.462360248,outlier,shape,0.450536217,Mileage,489
Year,2012,0.994352768,0.149813665,outlier,shape,0.148967632,Mileage,490
Year,2007,0.998358841,0.195031056,outlier,shape,0.194710979,Mileage,491
Year,2008,0.99958094,0.197515528,outlier,shape,0.197432757,Mileage,492
Year,2008,0.999456256,0.204720497,outlier,shape,0.204609181,Mileage,493
