breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
lg_name,NBA,0.883518723,0.1074715109999999,attribution,point,0.0949530919999999,PTS,187,25254,"[-0.05213867773909047, -0.09823185406887655]","[-0.005946046817312217, -0.01329460440225987]","[0.001500121116983513, 5.1858105924071554e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[3.732095781295576, -16.026893782146082]","[-0.00673073616410811, 0.007671063158035232]","[0.6627584932175452, -0.3854673214186158]","[1.3334790468215942, -14.506278991699219]"
name,-1,0.669731748,0.1074715109999999,clustering,compound shape,0.08652574,PTS;AST,208,25254,"[-0.05215605820374807, -0.09822726787916242]","[-0.005946046817312217, -0.013294604402259868]","[0.0015001211169835106, 5.1858105924070625e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[3.732095781295574, -16.026893782146065]","[-0.006730736164108121, 0.007671063158035238]","[0.6627584932175467, -0.38546732141861567]","[1.0088138580322266, -14.813878059387207]"
age,26,0.856444504,0.1074715109999999,top1,point,0.092043385,PTS,318,25254,"[-0.0521467400585022, -0.09822972580755286]","[-0.00594604681731222, -0.013294604402259881]","[0.0015001211169835102, 5.185810592407221e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[-46.52439089526182, 2.6221296527899685]","[-0.006730736164108106, 0.007671063158035262]","[0.6627584932175449, -0.3854673214186156]","[1.0088140964508057, -14.813878059387207]"
year,-1,0.300473186,0.028226768,trend,shape,0.008481387,PTS,19,25256,"[-0.09284003410381232, -0.20207668025061404]","[-0.005946046817312254, -0.013294604402259975]","[-0.027691296428555206, -0.0014520363176834118]","[-3.7214162349700928, 5.92009162902832]",-3.7214162349700928,5.92009162902832,"[-17.52898400216863, 16.49000142026424]","[-0.0067307361641081075, 0.007671063158035265]","[-18.877408269790763, 16.164866272869652]","[-2.7502739429473877, -4.898380279541016]"
lg_name,NBA,0.952209648,0.028226768,attribution,point,0.026877801,PTS,169,25256,"[-0.08632205066321542, -0.20366195274868013]","[-0.005946046817312258, -0.013294604402259986]","[-0.02769129642855521, -0.0014520363176834183]","[-3.7214159965515137, 5.920091152191162]",-3.7214159965515137,5.920091152191162,"[-17.528984002168688, 16.49000142026426]","[-0.006730736164108109, 0.007671063158035275]","[-18.877408269790767, 16.164866272869645]","[-2.7518937587738037, -4.896625518798828]"
year,-1,0.422316406,0.029180375,trend,shape,0.012323351,PTS,20,25258,"[-0.08039958005784105, -0.20285271289135426]","[-0.005946046817312266, -0.01329460440225999]","[-0.027874232988014044, -0.0014845701276484456]","[-2.462711811065674, 5.196539878845215]",-2.462711811065674,5.196539878845215,"[-13.957761017124522, 20.471705040486437]","[-0.006730736164108085, 0.0076710631580352755]","[-18.964539231426443, 16.402327911067953]","[-0.4929625988006592, -7.180960178375244]"
lg_name,NBA,0.952209648,0.029180375,attribution,point,0.027785834,PTS,170,25258,"[-0.0803987529092147, -0.20285285860730454]","[-0.005946046817312252, -0.01329460440225996]","[-0.02787423298801405, -0.0014845701276484447]","[-2.4626824855804443, 5.1961894035339355]",-2.4626824855804443,5.1961894035339355,"[-13.957761017124474, 20.471705040486416]","[-0.0067307361641080945, 0.007671063158035272]","[-18.96453923142644, 16.40232791106796]","[-0.4930804669857025, -7.181009769439697]"
year,-1,0.4870391679999999,0.191245888,trend,shape,0.093144238,PTS,25,314676,"[0.1529756323432917, -0.13011646508445324]","[-0.02114208336694457, 0.02192217482903279]","[0.0015174059471715947, 5.355299898211299e-05]","[-3.9746341705322266, 23.48972511291504]",-3.9746341705322266,23.48972511291504,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792345, -0.01826073373184756]","[0.675525784491212, -0.40318526279942307]","[-8.212882041931152, 17.607868194580078]"
year,1967,1.0,0.191245888,change point,shape,0.191245888,PTS,75,314676,"[0.15297565890743592, -0.13011634384304502]","[-0.021142083366944554, 0.02192217482903278]","[0.0015174059471715965, 5.355299898211392e-05]","[-3.9746344089508057, 23.48971939086914]",-3.9746344089508057,23.48971939086914,"[-12.669770329770934, -51.64538495910353]","[0.02273735964079236, -0.01826073373184756]","[0.675525784491213, -0.40318526279942435]","[-8.212882041931152, 17.607868194580078]"
year,1971,0.944851475,0.191245888,outlier,shape,0.180698959,PTS,139,314676,"[0.15297563161196454, -0.13011646842227914]","[-0.02114208336694459, 0.021922174829032803]","[0.0015174059471715965, 5.355299898211238e-05]","[-3.9252970218658447, 23.691791534423828]",-3.9252970218658447,23.691791534423828,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792355, -0.018260733731847563]","[0.6755257844912133, -0.4031852627994244]","[-7.93934440612793, 17.377700805664062]"
lg_name,NBA,0.922064267,0.191245888,attribution,point,0.176340999,PTS,185,314676,"[0.1529756309813989, -0.1301164713002243]","[-0.021142083366944547, 0.021922174829032786]","[0.0015174059471715967, 5.355299898211366e-05]","[-3.660658597946167, 23.987558364868164]",-3.660658597946167,23.987558364868164,"[-12.669770329770977, -51.645384959103566]","[0.02273735964079235, -0.018260733731847556]","[0.675525784491212, -0.403185262799424]","[-7.855270862579346, 18.249446868896484]"
year,-1,0.530075265,0.191245888,clustering,compound shape,0.096420069,PTS;AST,213,314676,"[0.1529756620277534, -0.13011632960149447]","[-0.02114208336694455, 0.021922174829032786]","[0.0015174059471715967, 5.355299898211134e-05]","[-3.3940389156341553, 22.7586669921875]",-3.3940389156341553,22.7586669921875,"[-12.669770329770977, -51.645384959103566]","[0.022737359640792362, -0.01826073373184755]","[0.6755257844912124, -0.40318526279942346]","[-8.82956600189209, 18.044307708740234]"
team_name,-1,0.786259795,0.191245888,clustering,compound shape,0.108444631,PTS;AST,216,314676,"[0.15297563099576128, -0.13011647123467288]","[-0.021142083366944557, 0.02192217482903278]","[0.001517405947171596, 5.355299898211291e-05]","[-3.3940694332122803, 22.758676528930664]",-3.3940694332122803,22.758676528930664,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792362, -0.01826073373184755]","[0.675525784491212, -0.4031852627994239]","[-7.485870838165283, 17.860830307006836]"
name,-1,0.754101237,0.191245888,clustering,compound shape,0.160526289,PTS;AST,243,314676,"[0.1529756311189919, -0.1301164706722409]","[-0.02114208336694455, 0.02192217482903277]","[0.0015174059471715975, 5.355299898211251e-05]","[-3.869450569152832, 23.084714889526367]",-3.869450569152832,23.084714889526367,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792352, -0.01826073373184758]","[0.6755257844912128, -0.4031852627994235]","[-8.143433570861816, 18.308748245239258]"
name,-1,0.804403605,0.191245888,cross measure correlation,compound,0.1538388809999999,PTS;AST,255,314676,"[0.15297563142751391, -0.13011646926412562]","[-0.02114208336694456, 0.02192217482903279]","[0.0015174059471715975, 5.3552998982114165e-05]","[-3.657989263534546, 23.99388313293457]",-3.657989263534546,23.99388313293457,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792373, -0.018260733731847556]","[0.6755257844912121, -0.4031852627994237]","[-7.485870838165283, 17.860830307006836]"
team_name,-1,0.940790648,0.191245888,cross measure correlation,compound,0.179922343,PTS;AST,269,314676,"[0.15297563130859024, -0.130116469806901]","[-0.021142083366944554, 0.02192217482903277]","[0.0015174059471715982, 5.3552998982111306e-05]","[-3.6606547832489014, 23.987560272216797]",-3.6606547832489014,23.987560272216797,"[-12.669770329770934, -51.64538495910353]","[0.02273735964079236, -0.018260733731847577]","[0.6755257844912119, -0.40318526279942246]","[-8.484796524047852, 18.218976974487305]"
year,-1,0.860074498,0.191245888,cross measure correlation,compound,0.164485711,PTS;AST,274,314676,"[0.15297564705025654, -0.1301163979606023]","[-0.021142083366944554, 0.02192217482903278]","[0.0015174059471715954, 5.3552998982112444e-05]","[-3.3602051734924316, 23.417537689208984]",-3.3602051734924316,23.417537689208984,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792373, -0.018260733731847556]","[0.6755257844912137, -0.4031852627994241]","[-7.41565465927124, 17.04404640197754]"
age,-1,0.979314769,0.191245888,cross measure correlation,compound,0.187289922,PTS;AST,275,314676,"[0.1529756326230721, -0.13011646380751518]","[-0.02114208336694456, 0.02192217482903278]","[0.0015174059471715952, 5.3552998982108277e-05]","[-3.3941993713378906, 22.758724212646484]",-3.3941993713378906,22.758724212646484,"[-12.669770329770934, -51.64538495910353]","[0.022737359640792352, -0.01826073373184756]","[0.6755257844912118, -0.40318526279942224]","[-8.82956600189209, 18.044307708740234]"
