breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Year,2003,SO2 kt,1.0,0.071046749,Change Point,Shape,0.071046749,448,8592,"[0.1574842357982858, -0.10716228753565114]","[0.005415763908574378, -0.0010695700559800482]","[0.0056702478519805935, 0.0009586541506336542]","[1.9661318063735962, 23.743703842163086]",1.966131806373596,23.74370384216309,"[66.89647429517794, -39.107060415375045]","[0.005786439317735118, -0.002006403147042522]","[-0.1844543502731307, -0.005201468586043655]","[8.992761611938477, 7.994775295257568]"
Year,2002,SO2 kt,0.996777134,0.071046749,Outlier,Shape,0.070817775,498,8592,"[0.15748423579810117, -0.10716228753556206]","[0.005415763908574377, -0.0010695700559800471]","[0.005670247851980602, 0.0009586541506336617]","[1.9661316871643066, 23.743698120117188]",1.9661316871643064,23.74369812011719,"[66.89647429517797, -39.10706041537508]","[0.005786439317735114, -0.002006403147042526]","[-0.1844543502731305, -0.005201468586043655]","[8.992768287658691, 7.994683742523193]"
Producer Type,Industrial Cogen,SO2 kt,0.9449601320000001,0.071046749,Attribution,Point,0.067136345,532,8592,"[0.18669854706775071, 0.016588176566919025]","[0.005415763908574368, -0.0010695700559800777]","[0.005670247851980598, 0.0009586541506336581]","[1.966131567955017, 23.74371910095215]",1.9661315679550169,23.74371910095215,"[66.89645815211816, -39.10693577990417]","[0.005786439317735112, -0.0020064031470425256]","[-0.18445435027313095, -0.00520146858604322]","[8.992767333984375, 7.994661808013916]"
State,-1,CO2 (kt);SO2 kt,0.8669339909999999,0.071046749,Clustering,Compound Shape,0.05447867,627,8592,"[0.1574842357980265, -0.10716228753552584]","[0.0054157639085743664, -0.001069570055980094]","[0.0056702478519806004, 0.0009586541506336548]","[1.9661331176757812, 23.74370765686035]",1.9661331176757808,23.74370765686035,"[66.89647429517794, -39.107060415375045]","[0.005786439317735114, -0.002006403147042526]","[-0.18445435027313078, -0.00520146858604409]","[8.992769241333008, 7.994666576385498]"
Year,-1,CO2 (kt),1.0,0.029254544,Trend,Shape,0.029254544,48,16236,"[0.19455703992394288, -0.07472624477725767]","[0.005415763908574369, -0.0013504934607893562]","[-0.0007658473557479343, 0.04696785048820815]","[10.359116554260254, 11.853742599487305]",10.359116554260254,11.853742599487305,"[39.38498904654415, -39.245862268249574]","[0.005786439317735111, 0.002432695591240778]","[7.707839025436006, 0.5685788021245528]","[-6.287353992462158, 12.046289443969727]"
Year,2002,SO2 kt,1.0,0.029254544,Change Point,Shape,0.029254544,413,16236,"[0.2058884508020586, -0.05061871937583822]","[0.005415763908574379, -0.0013504934607893873]","[-0.000765847355747928, 0.04696785048820815]","[10.359017372131348, 11.853484153747559]",10.359017372131348,11.85348415374756,"[39.35658187516015, -39.19187045252517]","[0.0057864393177351195, 0.0024326955912407603]","[7.7078390254360105, 0.568578802124551]","[-6.289829254150391, 12.045180320739746]"
Year,2003,SO2 kt,0.9999956740000001,0.029254544,Outlier,Shape,0.029254417,467,16236,"[0.20588460865589944, -0.05066056684256732]","[0.0054157639085743725, -0.001350493460789375]","[-0.0007658473557479365, 0.04696785048820817]","[10.359109878540039, 11.853178977966309]",10.359109878540039,11.853178977966307,"[39.3850234749454, -39.24592546131789]","[0.005786439317735115, 0.002432695591240785]","[7.7078390254360105, 0.5685788021245528]","[-6.287353515625, 12.046212196350098]"
State,-1,CO2 (kt);SO2 kt,1.0,0.029254544,Clustering,Compound Shape,0.02825723,620,16236,"[0.1945564359011349, -0.07472687042859467]","[0.0054157639085743725, -0.001350493460789361]","[-0.000765847355747933, 0.04696785048820816]","[10.359150886535645, 11.852705955505371]",10.359150886535645,11.852705955505373,"[39.35658188535716, -39.19187047246558]","[0.00578643931773512, 0.0024326955912407746]","[7.707839025436012, 0.568578802124551]","[-6.287521839141846, 12.046217918395996]"
Year,-1,CO2 (kt),0.6746850790000001,0.046846146,Trend,Shape,0.031606396,49,1407,"[0.17416379567979473, -0.0866455734258218]","[0.005415763908574369, -0.00654887249901568]","[0.005670247851980595, 0.0009586541506336565]","[4.342804908752441, 29.231210708618164]",4.342804908752441,29.231210708618164,"[0.41267468267515317, -75.88021524776218]","[0.005786439317735108, -0.000858978165990958]","[-0.18445435027313095, -0.005201468586042785]","[14.992046356201172, 10.356452941894531]"
Energy Source,Other,CO2 (kt),1.0,0.046846146,Top1,Point,0.046846146,72,1407,"[0.19982117468673727, -0.022755593101827867]","[0.005415763908574372, -0.006548872499015691]","[0.0056702478519806004, 0.0009586541506336585]","[4.342804908752441, 29.231210708618164]",4.342804908752441,29.231210708618164,"[0.412674682675168, -75.88021524776221]","[0.005786439317735112, -0.0008589781659909622]","[-0.1844543502731309, -0.005201468586043655]","[14.915441513061523, 10.513734817504883]"
