breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
county,-1,0.925974428,0.022117005,cross measure correlation,compound,0.020479781,cases;deaths,4,116778,"[-0.021877908721636977, 0.003225021441153953]","[-0.0005894425044790134, 0.011226182801609494]","[0.0025250384996545103, 0.0005619746615180588]","[-14.155881881713867, -2.9252238273620605]",-14.155881881713867,-2.9252238273620605,"[-55.036723781523335, 29.751156553316516]","[-0.0030087987365300848, -0.002229764923681967]","[2.629064245895195, 1.5440696356921972]","[19.549442291259766, -9.472590446472168]"
date,-1,0.977431115,0.022117005,cross measure correlation,compound,0.0216178489999999,cases;deaths,18,116778,"[-0.019971167526921397, -0.0007408954588175457]","[-0.0005894425044790098, 0.01122618280160949]","[0.0025250384996545108, 0.0005619746615180586]","[-13.880481719970703, -3.2217159271240234]",-13.880481719970703,-3.2217159271240234,"[-55.03672378152371, 29.751156553316125]","[-0.003008798736530078, -0.0022297649236819404]","[2.629064245895195, 1.5440696356921977]","[19.013290405273438, -9.62756061553955]"
date,-1,0.934076027,0.022117005,trend,shape,0.020658964,cases,93,116778,"[-0.019971220224470298, -0.0007408140740164563]","[-0.0005894425044790003, 0.011226182801609487]","[0.002525038499654509, 0.0005619746615180601]","[-13.772994041442871, -2.610166072845459]",-13.772994041442871,-2.610166072845459,"[-55.036724852799225, 29.75115549861353]","[-0.0030087987365300826, -0.0022297649236819746]","[2.629064245895195, 1.544069635692198]","[19.321582794189453, -9.682791709899902]"
date,2020-06-26T00:00:00.000000000,1.0,0.022117005,change point,shape,0.022117005,cases,143,116778,"[-0.019971167609757826, -0.0007408953308876035]","[-0.0005894425044790066, 0.011226182801609494]","[0.002525038499654511, 0.0005619746615180592]","[-13.516475677490234, -3.0349984169006348]",-13.516475677490234,-3.0349984169006348,"[-55.036802601320474, 29.75107895242164]","[-0.003008798736530091, -0.0022297649236819946]","[2.629064245895195, 1.5440696356921992]","[19.536949157714844, -9.159038543701172]"
date,2020-07-31T00:00:00.000000000,0.977336778,0.022117005,outlier,shape,0.021615762,cases,193,116778,"[-0.019971199847908586, -0.0007408455431671517]","[-0.0005894425044790008, 0.01122618280160949]","[0.002525038499654511, 0.000561974661518059]","[-13.880481719970703, -3.2217159271240234]",-13.880481719970703,-3.2217159271240234,"[-55.0367248527968, 29.75115549861589]","[-0.0030087987365300804, -0.002229764923681953]","[2.629064245895193, 1.5440696356921977]","[18.980060577392578, -9.076061248779297]"
county,-1,1.0,0.022117005,clustering,compound shape,0.020328129,cases;deaths,317,116778,"[-0.019971202668774505, -0.0007408411866854113]","[-0.0005894425044790007, 0.011226182801609504]","[0.002525038499654508, 0.0005619746615180586]","[-14.040541648864746, -2.693568706512451]",-14.040541648864746,-2.693568706512451,"[-55.036724852796596, 29.751155498616043]","[-0.0030087987365300765, -0.002229764923681956]","[2.629064245895195, 1.5440696356921977]","[18.867767333984375, -9.363541603088379]"
county,Miami-Dade,1.0,0.022117005,top1,point,0.022117005,cases,368,116778,"[-0.019971168588992557, -0.0007408938185883939]","[-0.0005894425044790024, 0.011226182801609497]","[0.0025250384996545086, 0.0005619746615180583]","[-13.545571327209473, -2.7798306941986084]",-13.545571327209473,-2.7798306941986084,"[-55.03672378152006, 29.75115655331984]","[-0.003008798736530085, -0.0022297649236819716]","[2.6290642458951927, 1.5440696356921984]","[19.274808883666992, -8.98354434967041]"
date,-1,0.893412135,0.021791755,cross measure correlation,compound,0.019469018,cases;deaths,5,116809,"[0.020876103371111208, 0.014467471100225204]","[-0.0034453054096802156, 0.004888256254913009]","[0.0025250384996545108, 0.000561974661518059]","[-17.40651512145996, 2.789318799972534]",-17.40651512145996,2.789318799972534,"[34.74069562194552, -19.541345013954597]","[-0.003056211594742314, -0.008269624650584513]","[2.629064245895191, 1.544069635692198]","[-10.706820487976074, 1.9825031757354736]"
county,-1,0.952955461,0.021791755,cross measure correlation,compound,0.020766572,cases;deaths,24,116809,"[0.020876103376160627, 0.014467470889957161]","[-0.0034453054096802165, 0.004888256254913002]","[0.0025250384996545095, 0.0005619746615180592]","[-17.291528701782227, 2.505866289138794]",-17.291528701782227,2.505866289138794,"[-67.39322966054374, 6.526498587033046]","[-0.003056211594742311, -0.008269624650584497]","[2.629064245895195, 1.5440696356921972]","[-11.421838760375977, 2.3088767528533936]"
date,-1,0.980288427,0.021791755,trend,shape,0.021362205,cases,92,116809,"[0.020876103376139446, 0.014467470890838854]","[-0.0034453054096802273, 0.004888256254912976]","[0.0025250384996545103, 0.0005619746615180594]","[-17.967679977416992, 2.2260560989379883]",-17.967679977416992,2.2260560989379883,"[-67.38464969767738, 6.548038048167189]","[-0.003056211594742308, -0.008269624650584492]","[2.629064245895191, 1.5440696356921975]","[-10.846981048583984, 1.6757409572601318]"
