sid,cid
29832,17
30461,17
30705,17
32209,17
32605,17
34217,17
34614,17
36228,17
36864,17
38869,17
39506,17
41514,17
42226,17
44362,17
45075,17
47212,17
48225,17
50687,17
51701,17
0,18
16,18
68,18
96,18
404,18
432,18
698,18
788,18
1682,18
1706,18
1896,18
1960,18
2697,18
2759,18
3390,18
3632,18
5124,18
5532,18
7132,18
7541,18
9143,18
9791,18
11784,18
12433,18
14428,18
15153,18
17276,18
18002,18
20126,18
21152,18
23601,18
24628,18
27074,18
27090,18
27142,18
27170,18
27478,18
27506,18
27772,18
27862,18
28756,18
28780,18
28970,18
29034,18
29771,18
29833,18
30464,18
30706,18
32198,18
32606,18
34206,18
34615,18
36217,18
36865,18
38858,18
39507,18
41502,18
42227,18
44350,18
45076,18
47200,18
48226,18
50675,18
51702,18
0,19
17,19
67,19
97,19
405,19
433,19
700,19
789,19
1683,19
1707,19
1899,19
1961,19
2698,19
2760,19
3393,19
3633,19
5126,19
5533,19
7134,19
7542,19
9145,19
9792,19
11786,19
12434,19
14431,19
15154,19
17279,19
18003,19
20129,19
21153,19
23604,19
24629,19
27075,19
27091,19
27147,19
27171,19
27482,19
27507,19
27781,19
27863,19
28761,19
28781,19
28981,19
29035,19
29778,19
29834,19
30476,19
30707,19
32210,19
32607,19
34218,19
34616,19
36229,19
36866,19
38870,19
39508,19
41515,19
42228,19
44363,19
45077,19
47213,19
48227,19
50688,19
51703,19
0,20
7,20
68,20
98,20
406,20
434,20
708,20
790,20
1683,20
1708,20
1908,20
1962,20
2705,20
2761,20
3403,20
3634,20
5137,20
5534,20
7145,20
7543,20
9156,20
9793,20
11797,20
12435,20
14442,20
15155,20
17290,20
18004,20
20140,20
21154,20
23615,20
24630,20
27074,20
27081,20
27142,20
27172,20
27483,20
27508,20
27782,20
27864,20
28757,20
28782,20
28982,20
29036,20
29779,20
29835,20
30477,20
30708,20
32211,20
32608,20
34219,20
34617,20
36230,20
36867,20
38871,20
39509,20
41516,20
42229,20
44364,20
45078,20
47214,20
48228,20
50689,20
51704,20
0,21
9,21
70,21
99,21
407,21
435,21
709,21
791,21
1683,21
1697,21
1909,21
1963,21
2702,21
2762,21
3404,21
3635,21
5138,21
5535,21
7146,21
7544,21
9157,21
9794,21
11798,21
12436,21
14443,21
15156,21
17291,21
18005,21
20141,21
21155,21
23616,21
24631,21
27074,21
27083,21
27145,21
27173,21
27481,21
27509,21
27783,21
27865,21
28757,21
28771,21
28983,21
29037,21
29776,21
29836,21
30478,21
30709,21
32212,21
32609,21
34220,21
34618,21
36231,21
36868,21
38872,21
39510,21
41517,21
42230,21
44365,21
45079,21
47215,21
48229,21
50690,21
51705,21
0,22
17,22
67,22
97,22
402,22
436,22
710,22
792,22
1684,22
1709,22
1903,22
1964,22
2696,22
2763,22
3405,22
3636,22
5126,22
5533,22
7134,22
7542,22
9158,22
9795,22
11799,22
12437,22
14444,22
15157,22
17292,22
18006,22
20142,22
21156,22
23617,22
24632,22
27074,22
27092,22
27141,22
27174,22
27476,22
27510,22
27784,22
27866,22
28758,22
28783,22
28977,22
29038,22
29770,22
29837,22
30479,22
30710,22
32200,22
32610,22
34208,22
34619,22
36232,22
36869,22
38873,22
39511,22
41518,22
42231,22
44366,22
45080,22
47216,22
48230,22
50691,22
51706,22
0,23
9,23
74,23
101,23
404,23
437,23
711,23
793,23
1684,23
1710,23
1910,23
1965,23
2701,23
2764,23
3406,23
3637,23
5139,23
5537,23
7147,23
7546,23
9159,23
9796,23
11800,23
12438,23
14445,23
15158,23
17293,23
18007,23
20143,23
21157,23
23618,23
24633,23
27074,23
27083,23
27148,23
27175,23
27478,23
27511,23
27785,23
27867,23
28758,23
28784,23
28984,23
29039,23
29775,23
29838,23
30480,23
30711,23
32213,23
32611,23
34221,23
34620,23
36233,23
36870,23
38874,23
39512,23
41519,23
42232,23
44367,23
45081,23
47217,23
48231,23
50692,23
51707,23
0,24
13,24
67,24
102,24
402,24
427,24
710,24
794,24
1683,24
1711,24
1899,24
1966,24
2706,24
2765,24
3407,24
3638,24
5140,24
5538,24
7148,24
7547,24
9160,24
9797,24
11801,24
12439,24
14446,24
15159,24
17294,24
18008,24
20144,24
21158,24
23619,24
24634,24
27074,24
27087,24
27141,24
27176,24
27476,24
27501,24
27784,24
27868,24
28757,24
28785,24
28973,24
29040,24
29780,24
29839,24
30481,24
30712,24
32214,24
32612,24
34222,24
34621,24
36234,24
36871,24
38875,24
39513,24
41520,24
42233,24
44368,24
45082,24
47218,24
48232,24
50693,24
51708,24
0,25
13,25
70,25
92,25
404,25
438,25
712,25
795,25
1683,25
1711,25
1909,25
1967,25
2707,25
2766,25
3408,25
3639,25
5141,25
5539,25
7149,25
7548,25
9161,25
9798,25
11802,25
12440,25
14447,25
15160,25
17295,25
18009,25
20145,25
21159,25
23620,25
24635,25
27074,25
27087,25
27145,25
27166,25
27478,25
27512,25
27786,25
27869,25
28757,25
28785,25
28983,25
29041,25
29781,25
29840,25
30482,25
30713,25
32215,25
32613,25
34223,25
34622,25
36235,25
36872,25
38876,25
39514,25
41521,25
42234,25
44369,25
45083,25
47219,25
48233,25
50694,25
51709,25
0,26
3,26
67,26
103,26
402,26
439,26
710,26
796,26
1682,26
1712,26
1895,26
1968,26
2694,26
2767,26
3409,26
3640,26
5126,26
5540,26
7134,26
7549,26
9158,26
9799,26
11799,26
12441,26
14448,26
15161,26
17296,26
18010,26
20146,26
21160,26
23621,26
24636,26
27074,26
27077,26
27141,26
27177,26
27476,26
27513,26
27784,26
27870,26
28756,26
28786,26
28969,26
29042,26
29768,26
29841,26
30483,26
30714,26
32200,26
32614,26
34208,26
34623,26
36232,26
36873,26
38873,26
39515,26
41522,26
42235,26
44370,26
45084,26
47220,26
48234,26
50695,26
51710,26
0,27
6,27
66,27
104,27
406,27
440,27
713,27
797,27
1688,27
1713,27
1911,27
1969,27
2708,27
2768,27
3410,27
3641,27
5135,27
5541,27
7143,27
7550,27
9162,27
9800,27
11803,27
12442,27
14449,27
15162,27
17297,27
18011,27
20147,27
21161,27
23622,27
24637,27
27075,27
27093,27
27149,27
27178,27
27480,27
27514,27
27787,27
27871,27
28762,27
28787,27
28985,27
29043,27
29782,27
29842,27
30484,27
30715,27
32216,27
32615,27
34224,27
34624,27
36236,27
36874,27
38877,27
39516,27
41523,27
42236,27
44371,27
45085,27
47221,27
48235,27
50696,27
51711,27
0,28
20,28
74,28
105,28
407,28
441,28
714,28
798,28
1682,28
1714,28
1912,28
1970,28
2709,28
2769,28
3411,28
3642,28
5143,28
5542,28
7151,28
7551,28
9163,28
9801,28
11804,28
12443,28
14450,28
15163,28
17298,28
18012,28
20148,28
21162,28
23623,28
24638,28
27074,28
27094,28
27148,28
27179,28
27481,28
27515,28
27788,28
27872,28
28756,28
28788,28
28986,28
29044,28
29783,28
29843,28
30485,28
30716,28
32217,28
32616,28
34225,28
34625,28
36237,28
36875,28
38878,28
39517,28
41524,28
42237,28
44372,28
45086,28
47222,28
48236,28
50697,28
51712,28
0,29
7,29
66,29
84,29
404,29
419,29
699,29
775,29
1682,29
1695,29
1897,29
1948,29
2697,29
2746,29
3391,29
3619,29
5144,29
5543,29
7152,29
7552,29
9164,29
9802,29
11805,29
12444,29
14451,29
15164,29
17299,29
18013,29
20149,29
21163,29
23624,29
24639,29
27074,29
27081,29
27140,29
27158,29
27478,29
27493,29
27773,29
27849,29
28756,29
28769,29
28971,29
29022,29
29771,29
29820,29
30465,29
30693,29
32218,29
32617,29
34226,29
34626,29
36238,29
36876,29
38879,29
39518,29
41525,29
42238,29
44373,29
45087,29
47223,29
48237,29
50698,29
51713,29
0,30
21,30
67,30
106,30
402,30
442,30
710,30
799,30
1684,30
1715,30
1903,30
1971,30
2696,30
2770,30
3405,30
3643,30
5145,30
5544,30
7153,30
7553,30
9165,30
9803,30
11806,30
12445,30
14452,30
15165,30
17300,30
18014,30
20150,30
21164,30
23625,30
24640,30
27074,30
27095,30
27141,30
27180,30
27476,30
27516,30
27784,30
27873,30
28758,30
28789,30
28977,30
29045,30
29770,30
29844,30
30479,30
30717,30
32219,30
32618,30
34227,30
34627,30
36239,30
36877,30
38880,30
39519,30
41526,30
42239,30
44374,30
45088,30
47224,30
48238,30
50699,30
51714,30
0,31
5,31
65,31
107,31
406,31
443,31
706,31
800,31
1682,31
1693,31
1892,31
1972,31
2703,31
2771,31
3401,31
3644,31
5146,31
5545,31
7154,31
7554,31
9166,31
9804,31
11807,31
12446,31
14453,31
15166,31
17301,31
18015,31
20151,31
21165,31
23626,31
24641,31
27074,31
27079,31
27139,31
27181,31
27483,31
27517,31
27789,31
27874,31
28756,31
28767,31
28966,31
29046,31
29784,31
29845,31
30486,31
30718,31
32220,31
32619,31
34228,31
34628,31
36240,31
36878,31
38881,31
39520,31
41527,31
42240,31
44375,31
45089,31
47225,31
48239,31
50700,31
51715,31
0,32
13,32
74,32
108,32
404,32
438,32
711,32
801,32
1684,32
1716,32
1910,32
1973,32
2701,32
2772,32
3406,32
3645,32
5147,32
5546,32
7155,32
7555,32
9167,32
9805,32
11808,32
12447,32
14454,32
15167,32
17302,32
18016,32
20152,32
21166,32
23627,32
24642,32
27074,32
27087,32
27148,32
27182,32
27478,32
27512,32
27785,32
27875,32
28758,32
28790,32
28984,32
29047,32
29775,32
29846,32
30480,32
30719,32
32221,32
32620,32
34229,32
34629,32
36241,32
36879,32
38882,32
39521,32
41528,32
42241,32
44376,32
45090,32
47226,32
48240,32
50701,32
51716,32
0,33
13,33
65,33
109,33
404,33
438,33
716,33
802,33
1684,33
1716,33
1898,33
1974,33
2701,33
2772,33
3413,33
3646,33
5148,33
5547,33
7156,33
7556,33
9168,33
9806,33
11809,33
12448,33
14455,33
15168,33
17303,33
18017,33
20153,33
21167,33
23628,33
24643,33
27074,33
27087,33
27139,33
27183,33
27478,33
27512,33
27790,33
27876,33
28758,33
28790,33
28972,33
29048,33
29775,33
29846,33
30487,33
30720,33
32222,33
32621,33
34230,33
34630,33
36242,33
36880,33
38883,33
39522,33
41529,33
42242,33
44377,33
45091,33
47227,33
48241,33
50702,33
51717,33
0,34
22,34
70,34
110,34
403,34
444,34
717,34
803,34
1683,34
1717,34
1909,34
1975,34
2695,34
2773,34
3414,34
3647,34
5149,34
5548,34
7157,34
7557,34
9169,34
9807,34
11810,34
12449,34
14456,34
15169,34
17304,34
18018,34
20154,34
21168,34
23629,34
24644,34
27074,34
27096,34
27145,34
27184,34
27477,34
27518,34
27791,34
27877,34
28757,34
28791,34
28983,34
29049,34
29769,34
29847,34
30488,34
30721,34
32223,34
32622,34
34231,34
34631,34
36243,34
36881,34
38884,34
39523,34
41530,34
42243,34
44378,34
45092,34
47228,34
48242,34
50703,34
51718,34
0,35
9,35
68,35
111,35
402,35
445,35
718,35
804,35
1684,35
1710,35
1905,35
1976,35
2696,35
2774,35
3415,35
3648,35
5150,35
5549,35
7158,35
7558,35
9170,35
9808,35
11811,35
12450,35
14457,35
15170,35
17305,35
18019,35
20155,35
21169,35
23630,35
24645,35
27074,35
27083,35
27142,35
27185,35
27476,35
27519,35
27792,35
27878,35
28758,35
28784,35
28979,35
29050,35
29770,35
29848,35
30489,35
30722,35
32224,35
32623,35
34232,35
34632,35
36244,35
36882,35
38885,35
39524,35
41531,35
42244,35
44379,35
45093,35
47229,35
48243,35
50704,35
51719,35
0,36
23,36
65,36
112,36
402,36
446,36
694,36
805,36
1682,36
1718,36
1892,36
1977,36
2694,36
2775,36
3386,36
3649,36
5151,36
5550,36
7159,36
7559,36
9171,36
9809,36
11812,36
12451,36
14458,36
15171,36
17306,36
18020,36
20156,36
21170,36
23631,36
24646,36
27074,36
27097,36
27139,36
27186,36
27476,36
27520,36
27768,36
27879,36
28756,36
28792,36
28966,36
29051,36
29768,36
29849,36
30460,36
30723,36
32225,36
32624,36
34233,36
34633,36
36245,36
36883,36
38886,36
39525,36
41532,36
42245,36
44380,36
45094,36
47230,36
48244,36
50705,36
51720,36
0,37
7,37
65,37
113,37
404,37
419,37
716,37
806,37
1683,37
1708,37
1913,37
1978,37
2707,37
2776,37
3416,37
3650,37
5148,37
5551,37
7156,37
7560,37
9168,37
9810,37
11809,37
12452,37
14459,37
15172,37
17307,37
18021,37
20157,37
21171,37
23632,37
24647,37
27074,37
27081,37
27139,37
27187,37
27478,37
27493,37
27790,37
27880,37
28757,37
28782,37
28987,37
29052,37
29781,37
29850,37
30490,37
30724,37
32222,37
32625,37
34230,37
34634,37
36242,37
36884,37
38883,37
39526,37
41533,37
42246,37
44381,37
45095,37
47231,37
48245,37
50706,37
51721,37
0,38
24,38
67,38
114,38
406,38
447,38
719,38
807,38
1682,38
1719,38
1895,38
1979,38
2703,38
2777,38
3417,38
3651,38
5152,38
5552,38
7160,38
7561,38
9172,38
9811,38
11813,38
12453,38
14460,38
15173,38
17308,38
18022,38
20158,38
21172,38
23633,38
24648,38
27074,38
27098,38
27141,38
27188,38
27483,38
27521,38
27793,38
27881,38
28756,38
28793,38
28969,38
29053,38
29784,38
29851,38
30491,38
30725,38
32226,38
32626,38
34234,38
34635,38
36246,38
36885,38
38887,38
39527,38
41534,38
42247,38
44382,38
45096,38
47232,38
48246,38
50707,38
51722,38
0,39
25,39
67,39
115,39
402,39
448,39
710,39
808,39
1682,39
1720,39
1895,39
1980,39
2694,39
2778,39
3409,39
3652,39
5153,39
5553,39
7161,39
7562,39
9173,39
9812,39
11814,39
12454,39
14461,39
15174,39
17309,39
18023,39
20159,39
21173,39
23634,39
24649,39
27075,39
27099,39
27147,39
27189,39
27484,39
27522,39
27794,39
27882,39
28760,39
28794,39
28988,39
29054,39
29785,39
29852,39
30492,39
30726,39
32227,39
32627,39
34235,39
34636,39
36247,39
36886,39
38888,39
39528,39
41535,39
42248,39
44383,39
45097,39
47233,39
48247,39
50708,39
51723,39
0,40
26,40
66,40
116,40
403,40
449,40
695,40
809,40
1683,40
1721,40
1893,40
1981,40
2695,40
2779,40
3387,40
3653,40
5135,40
5554,40
7143,40
7563,40
9154,40
9813,40
11795,40
12455,40
14440,40
15175,40
17288,40
18024,40
20138,40
21174,40
23613,40
24650,40
27074,40
27100,40
27140,40
27190,40
27477,40
27523,40
27769,40
27883,40
28757,40
28795,40
28967,40
29055,40
29769,40
29853,40
30461,40
30727,40
32209,40
32628,40
34217,40
34637,40
36228,40
36887,40
38869,40
39529,40
41514,40
42249,40
44362,40
45098,40
47212,40
48248,40
50687,40
51724,40
0,41
22,41
66,41
117,41
404,41
450,41
699,41
810,41
1682,41
1722,41
1897,41
1982,41
2697,41
2780,41
3391,41
3654,41
5154,41
5555,41
7162,41
7564,41
9174,41
9814,41
11815,41
12456,41
14462,41
15176,41
17310,41
18025,41
20160,41
21175,41
23635,41
24651,41
27074,41
27096,41
27140,41
27191,41
27478,41
27524,41
27773,41
27884,41
28756,41
28796,41
28971,41
29056,41
29771,41
29854,41
30465,41
30728,41
32228,41
32629,41
34236,41
34638,41
36248,41
36888,41
38889,41
39530,41
41536,41
42250,41
44384,41
45099,41
47234,41
48249,41
50709,41
51725,41
0,42
17,42
65,42
118,42
402,42
436,42
694,42
811,42
1682,42
1723,42
1892,42
1983,42
2694,42
2781,42
3386,42
3655,42
5151,42
5556,42
7159,42
7565,42
9171,42
9815,42
11812,42
12457,42
14458,42
15177,42
17306,42
18026,42
20156,42
21176,42
23631,42
24652,42
27074,42
27092,42
27139,42
27192,42
27476,42
27510,42
27768,42
27885,42
28756,42
28797,42
28966,42
29057,42
29768,42
29855,42
30460,42
30729,42
32225,42
32630,42
34233,42
34639,42
36245,42
36889,42
38886,42
39531,42
41532,42
42251,42
44380,42
45100,42
47230,42
48250,42
50705,42
51726,42
0,43
9,43
66,43
119,43
403,43
451,43
695,43
812,43
1683,43
1697,43
1893,43
1984,43
2695,43
2782,43
3387,43
3656,43
5135,43
5557,43
7143,43
7566,43
9154,43
9816,43
11795,43
12458,43
14440,43
15178,43
17288,43
18027,43
20138,43
21177,43
23613,43
24653,43
27074,43
27083,43
27140,43
27193,43
27477,43
27525,43
27769,43
27886,43
28757,43
28771,43
28967,43
29058,43
29769,43
29856,43
30461,43
30730,43
32209,43
32631,43
34217,43
34640,43
36228,43
36890,43
38869,43
39532,43
41514,43
42252,43
44362,43
45101,43
47212,43
48251,43
50687,43
51727,43
0,44
13,44
68,44
120,44
402,44
427,44
718,44
813,44
1682,44
1702,44
1896,44
1985,44
2694,44
2754,44
3419,44
3657,44
5150,44
5558,44
7158,44
7567,44
9170,44
9817,44
11811,44
12459,44
14463,44
15179,44
17311,44
18028,44
20161,44
21178,44
23636,44
24654,44
27074,44
27087,44
27142,44
27194,44
27476,44
27501,44
27792,44
27887,44
28756,44
28776,44
28970,44
29059,44
29768,44
29828,44
30493,44
30731,44
32224,44
32632,44
34232,44
34641,44
