sid,cid
743,37
833,37
887,37
916,37
968,37
1001,37
1057,37
1102,37
1172,37
1237,37
1293,37
1325,37
1382,37
1422,37
1489,37
1539,37
1629,37
1719,37
0,38
31,38
82,38
116,38
167,38
217,38
287,38
352,38
405,38
440,38
496,38
537,38
594,38
654,38
744,38
834,38
887,38
917,38
968,38
1002,38
1058,38
1103,38
1173,38
1238,38
1293,38
1326,38
1382,38
1423,38
1490,38
1540,38
1630,38
1720,38
0,39
32,39
82,39
117,39
168,39
218,39
288,39
353,39
405,39
441,39
496,39
538,39
595,39
655,39
745,39
835,39
887,39
918,39
968,39
1003,39
1059,39
1104,39
1174,39
1239,39
1293,39
1327,39
1382,39
1424,39
1491,39
1541,39
1631,39
1721,39
0,40
33,40
83,40
118,40
164,40
219,40
289,40
354,40
404,40
442,40
497,40
539,40
586,40
656,40
746,40
836,40
887,40
919,40
969,40
1004,40
1055,40
1105,40
1175,40
1240,40
1292,40
1328,40
1383,40
1425,40
1482,40
1542,40
1632,40
1722,40
0,41
34,41
83,41
119,41
165,41
220,41
290,41
355,41
404,41
443,41
497,41
540,41
587,41
657,41
747,41
837,41
887,41
920,41
969,41
1005,41
1056,41
1106,41
1176,41
1241,41
1292,41
1329,41
1383,41
1426,41
1483,41
1543,41
1633,41
1723,41
0,42
35,42
83,42
120,42
166,42
221,42
291,42
356,42
404,42
444,42
497,42
541,42
588,42
658,42
748,42
838,42
887,42
921,42
969,42
1006,42
1057,42
1107,42
1177,42
1242,42
1292,42
1330,42
1383,42
1427,42
1484,42
1544,42
1634,42
1724,42
0,43
36,43
83,43
121,43
167,43
222,43
292,43
357,43
404,43
445,43
497,43
542,43
589,43
659,43
749,43
839,43
887,43
922,43
969,43
1007,43
1058,43
1108,43
1178,43
1243,43
1292,43
1331,43
1383,43
1428,43
1485,43
1545,43
1635,43
1725,43
0,44
37,44
83,44
122,44
168,44
223,44
293,44
358,44
404,44
446,44
497,44
543,44
590,44
660,44
750,44
840,44
887,44
923,44
969,44
1008,44
1059,44
1109,44
1179,44
1244,44
1292,44
1332,44
1383,44
1429,44
1486,44
1546,44
1636,44
1726,44
0,45
38,45
83,45
123,45
164,45
224,45
289,45
359,45
405,45
447,45
498,45
544,45
591,45
661,45
751,45
841,45
887,45
924,45
969,45
1009,45
1055,45
