Year,Brand,Body,Engine Type,Model,Registration,sid
1984,Volkswagen,*,*,*,*,291
1992,BMW,*,*,*,*,293
1992,Volkswagen,*,*,*,*,296
2009,Audi,*,*,*,*,300
1978,Mercedes-Benz,*,*,*,*,301
1993,Volkswagen,*,*,*,*,303
1986,Volkswagen,*,*,*,*,304
1999,Toyota,*,*,*,*,307
2002,Mitsubishi,*,*,*,*,308
1988,Toyota,*,*,*,*,309
1997,Audi,*,*,*,*,310
1987,BMW,*,*,*,*,312
1991,Mercedes-Benz,*,*,*,*,313
1989,Mercedes-Benz,*,*,*,*,314
1997,Renault,*,*,*,*,315
2001,Mitsubishi,*,*,*,*,316
1999,Mitsubishi,*,*,*,*,318
1989,Toyota,*,*,*,*,320
1998,Toyota,*,*,*,*,323
1989,Mitsubishi,*,*,*,*,325
1988,Volkswagen,*,*,*,*,326
1987,Mercedes-Benz,*,*,*,*,327
1993,Mercedes-Benz,*,*,*,*,328
1985,BMW,*,*,*,*,329
1998,Renault,*,*,*,*,330
1987,Audi,*,*,*,*,331
1988,Renault,*,*,*,*,332
1986,Renault,*,*,*,*,333
1987,Renault,*,*,*,*,336
1991,Renault,*,*,*,*,337
1991,Mitsubishi,*,*,*,*,338
1994,Mitsubishi,*,*,*,*,341
1985,Volkswagen,*,*,*,*,342
1996,Toyota,*,*,*,*,344
1991,Audi,*,*,*,*,346
1979,Mercedes-Benz,*,*,*,*,350
1990,Audi,*,*,*,*,351
2000,Mitsubishi,*,*,*,*,352
1990,Mitsubishi,*,*,*,*,353
2015,Renault,*,*,*,*,355
1996,Renault,*,*,*,*,358
1992,Mitsubishi,*,*,*,*,361
1990,Volkswagen,*,*,*,*,362
1987,Toyota,*,*,*,*,363
1992,Toyota,*,*,*,*,365
1990,Renault,*,*,*,*,367
1993,BMW,*,*,*,*,371
2015,Mitsubishi,*,*,*,*,372
1983,Mercedes-Benz,*,*,*,*,374
1985,Toyota,*,*,*,*,376
1983,BMW,*,*,*,*,379
1995,Audi,*,*,*,*,380
1990,Mercedes-Benz,*,*,*,*,382
1980,Mercedes-Benz,*,*,*,*,383
1985,Audi,*,*,*,*,385
1989,BMW,*,*,*,*,389
1982,Volkswagen,*,*,*,*,395
1986,BMW,*,*,*,*,398
1980,Volkswagen,*,*,*,*,401
*,*,sedan,*,*,*,402
*,*,van,*,*,*,403
*,*,crossover,*,*,*,404
*,*,vagon,*,*,*,405
*,*,other,*,*,*,406
*,*,hatch,*,*,*,407
1991,*,sedan,*,*,*,414
1999,*,van,*,*,*,415
2003,*,sedan,*,*,*,416
2007,*,crossover,*,*,*,417
2011,*,crossover,*,*,*,418
2016,*,crossover,*,*,*,419
1997,*,sedan,*,*,*,420
2006,*,vagon,*,*,*,421
2012,*,vagon,*,*,*,422
1999,*,other,*,*,*,423
2011,*,vagon,*,*,*,424
1994,*,sedan,*,*,*,425
2003,*,vagon,*,*,*,426
2008,*,sedan,*,*,*,427
2001,*,crossover,*,*,*,428
2012,*,hatch,*,*,*,429
2001,*,other,*,*,*,430
2007,*,van,*,*,*,431
2013,*,crossover,*,*,*,432
1998,*,vagon,*,*,*,433
2016,*,other,*,*,*,434
2006,*,hatch,*,*,*,435
1998,*,sedan,*,*,*,436
2006,*,crossover,*,*,*,437
2008,*,crossover,*,*,*,438
1999,*,sedan,*,*,*,439
2011,*,other,*,*,*,440
2010,*,hatch,*,*,*,441
1989,*,sedan,*,*,*,442
2007,*,other,*,*,*,443
2009,*,van,*,*,*,444
2006,*,sedan,*,*,*,445
1996,*,sedan,*,*,*,446
2014,*,other,*,*,*,447
2000,*,sedan,*,*,*,448
2004,*,van,*,*,*,449
2009,*,crossover,*,*,*,450
2006,*,van,*,*,*,451
2012,*,crossover,*,*,*,452
1987,*,sedan,*,*,*,453
1990,*,sedan,*,*,*,454
2007,*,sedan,*,*,*,455
2014,*,van,*,*,*,456
2001,*,sedan,*,*,*,457
2008,*,van,*,*,*,458
2005,*,sedan,*,*,*,459
2010,*,sedan,*,*,*,461
1995,*,other,*,*,*,462
2002,*,van,*,*,*,463
2015,*,crossover,*,*,*,464
1995,*,sedan,*,*,*,465
2005,*,van,*,*,*,466
2008,*,vagon,*,*,*,470
2011,*,sedan,*,*,*,471
2012,*,van,*,*,*,474
2004,*,hatch,*,*,*,475
2003,*,crossover,*,*,*,476
2012,*,sedan,*,*,*,477
2014,*,hatch,*,*,*,478
2004,*,vagon,*,*,*,479
2009,*,sedan,*,*,*,480
2000,*,vagon,*,*,*,481
1992,*,sedan,*,*,*,482
1988,*,sedan,*,*,*,484
2014,*,crossover,*,*,*,485
2003,*,van,*,*,*,486
2004,*,other,*,*,*,487
2015,*,sedan,*,*,*,488
2002,*,crossover,*,*,*,489
2010,*,crossover,*,*,*,490
2005,*,crossover,*,*,*,491
2010,*,van,*,*,*,492
1986,*,sedan,*,*,*,493
2014,*,sedan,*,*,*,494
1994,*,other,*,*,*,495
2005,*,hatch,*,*,*,497
2013,*,hatch,*,*,*,498
2001,*,van,*,*,*,499
2013,*,sedan,*,*,*,500
2002,*,other,*,*,*,501
2008,*,other,*,*,*,502
1980,*,sedan,*,*,*,503
2016,*,van,*,*,*,504
2006,*,other,*,*,*,505
2001,*,hatch,*,*,*,506
2002,*,sedan,*,*,*,507
2013,*,other,*,*,*,510
2004,*,sedan,*,*,*,511
2015,*,other,*,*,*,512
1998,*,hatch,*,*,*,515
2015,*,vagon,*,*,*,516
2016,*,sedan,*,*,*,518
2005,*,other,*,*,*,519
2011,*,van,*,*,*,520
1999,*,vagon,*,*,*,521
1996,*,hatch,*,*,*,522
2004,*,crossover,*,*,*,523
2000,*,crossover,*,*,*,524
2010,*,vagon,*,*,*,526
1989,*,other,*,*,*,527
2000,*,van,*,*,*,528
2009,*,hatch,*,*,*,529
2007,*,hatch,*,*,*,530
2012,*,other,*,*,*,531
2013,*,van,*,*,*,532
2013,*,vagon,*,*,*,533
2011,*,hatch,*,*,*,534
1979,*,sedan,*,*,*,536
2016,*,vagon,*,*,*,537
2002,*,vagon,*,*,*,538
1998,*,crossover,*,*,*,539
2007,*,vagon,*,*,*,540
2002,*,hatch,*,*,*,541
2001,*,vagon,*,*,*,542
1991,*,other,*,*,*,543
1997,*,crossover,*,*,*,544
2010,*,other,*,*,*,545
1985,*,sedan,*,*,*,546
2009,*,other,*,*,*,547
1995,*,van,*,*,*,549
2005,*,vagon,*,*,*,553
1996,*,vagon,*,*,*,557
1993,*,hatch,*,*,*,558
2000,*,other,*,*,*,559
2000,*,hatch,*,*,*,560
1998,*,other,*,*,*,561
1989,*,hatch,*,*,*,564
1994,*,hatch,*,*,*,567
2008,*,hatch,*,*,*,570
1994,*,crossover,*,*,*,571
2003,*,other,*,*,*,575
1993,*,sedan,*,*,*,580
1997,*,vagon,*,*,*,582
1986,*,crossover,*,*,*,583
2009,*,vagon,*,*,*,584
2014,*,vagon,*,*,*,586
1994,*,vagon,*,*,*,587
1969,*,sedan,*,*,*,588
1997,*,van,*,*,*,590
1987,*,hatch,*,*,*,591
1993,*,crossover,*,*,*,592
1995,*,vagon,*,*,*,593
1984,*,sedan,*,*,*,594
2003,*,hatch,*,*,*,595
1992,*,van,*,*,*,600
1998,*,van,*,*,*,601
1978,*,sedan,*,*,*,604
1986,*,hatch,*,*,*,606
1993,*,other,*,*,*,607
1997,*,other,*,*,*,609
1987,*,other,*,*,*,611
1986,*,vagon,*,*,*,613
1997,*,hatch,*,*,*,614
1988,*,other,*,*,*,615
1999,*,hatch,*,*,*,617
1996,*,van,*,*,*,624
1999,*,crossover,*,*,*,627
2015,*,hatch,*,*,*,628
2015,*,van,*,*,*,630
1988,*,van,*,*,*,632
1993,*,van,*,*,*,633
1985,*,other,*,*,*,634
1996,*,crossover,*,*,*,637
2016,*,hatch,*,*,*,644
1991,*,hatch,*,*,*,645
1995,*,hatch,*,*,*,646
1985,*,van,*,*,*,648
1985,*,hatch,*,*,*,651
1990,*,other,*,*,*,655
1989,*,vagon,*,*,*,656
1993,*,vagon,*,*,*,658
1991,*,crossover,*,*,*,659
1992,*,vagon,*,*,*,661
1992,*,hatch,*,*,*,662
1987,*,vagon,*,*,*,665
1983,*,sedan,*,*,*,667
1988,*,vagon,*,*,*,668
1983,*,other,*,*,*,671
1984,*,hatch,*,*,*,673
1980,*,other,*,*,*,675
1996,*,other,*,*,*,685
1984,*,other,*,*,*,686
1982,*,hatch,*,*,*,687
1990,*,hatch,*,*,*,688
1991,*,vagon,*,*,*,689
1988,*,hatch,*,*,*,691
1990,*,vagon,*,*,*,693
*,BMW,sedan,*,*,*,694
*,Mercedes-Benz,van,*,*,*,695
*,Mercedes-Benz,sedan,*,*,*,696
*,Audi,crossover,*,*,*,697
*,Toyota,crossover,*,*,*,698
*,Mercedes-Benz,crossover,*,*,*,699
*,Audi,vagon,*,*,*,700
*,Renault,vagon,*,*,*,701
*,Volkswagen,other,*,*,*,702
*,Renault,sedan,*,*,*,703
*,Volkswagen,sedan,*,*,*,704
*,Renault,hatch,*,*,*,705
*,BMW,other,*,*,*,706
*,Toyota,other,*,*,*,708
*,Volkswagen,hatch,*,*,*,709
*,Audi,sedan,*,*,*,710
