Year,Brand,Body,Engine Type,Model,Registration,sid
*,Mercedes-Benz,crossover,*,GLK 220,*,12061
*,BMW,other,*,520,*,12062
*,Mercedes-Benz,crossover,*,ML 250,*,12063
*,Toyota,hatch,*,IQ,*,12064
*,Toyota,other,*,Celica,*,12066
*,Mercedes-Benz,sedan,*,S 280,*,12067
*,BMW,sedan,*,5 Series GT,*,12068
*,BMW,other,*,5 Series GT,*,12069
*,BMW,other,*,740,*,12070
*,Audi,sedan,*,S4,*,12071
*,Mercedes-Benz,sedan,*,CLK 430,*,12072
*,Audi,hatch,*,A1,*,12073
*,Mercedes-Benz,sedan,*,300,*,12074
*,Toyota,other,*,Camry,*,12075
*,Audi,crossover,*,A6,*,12076
*,BMW,hatch,*,1 Series,*,12077
*,Mitsubishi,vagon,*,Grandis,*,12078
*,Volkswagen,other,*,T4 (Transporter),*,12080
*,Toyota,other,*,Tundra,*,12081
*,Mercedes-Benz,crossover,*,G 500,*,12082
*,Audi,sedan,*,A3,*,12084
*,Audi,sedan,*,Q3,*,12086
*,Volkswagen,van,*,T6 (Transporter) ,*,12087
*,Volkswagen,sedan,*,Multivan,*,12088
*,BMW,vagon,*,X1,*,12089
*,Mercedes-Benz,other,*,S 400,*,12090
*,Renault,van,*,Grand Scenic,*,12091
*,Toyota,other,*,Rav 4,*,12092
*,Mitsubishi,crossover,*,ASX,*,12093
*,Mercedes-Benz,sedan,*,CLS 350,*,12094
*,Toyota,van,*,Sienna,*,12095
*,Volkswagen,other,*,T4 (Transporter) ,*,12096
*,Mercedes-Benz,hatch,*,B 200,*,12097
*,Volkswagen,sedan,*,Vento,*,12098
*,BMW,vagon,*,520,*,12099
*,Renault,sedan,*,Kangoo,*,12100
*,Volkswagen,other,*,Touran,*,12101
*,BMW,other,*,323,*,12102
*,Mercedes-Benz,other,*,ML 63 AMG,*,12103
*,BMW,sedan,*,740,*,12104
*,BMW,sedan,*,524,*,12105
*,BMW,other,*,645,*,12106
*,Volkswagen,other,*,Jetta,*,12107
*,Audi,other,*,Q7,*,12108
*,Volkswagen,vagon,*,Passat B2,*,12109
*,Toyota,hatch,*,Corolla,*,12110
*,Volkswagen,crossover,*,Amarok,*,12111
*,Volkswagen,van,*,T6 (Transporter),*,12112
*,Mercedes-Benz,hatch,*,A 140,*,12113
*,Renault,van,*,Megane,*,12114
*,Volkswagen,van,*,T4 (Transporter) ,*,12116
*,Renault,sedan,*,Latitude,*,12118
*,Mitsubishi,other,*,ASX,*,12121
*,Mitsubishi,vagon,*,Space Star,*,12122
*,Volkswagen,sedan,*,Passat B8,*,12123
*,Mercedes-Benz,sedan,*,230,*,12124
*,Renault,hatch,*,Laguna,*,12125
*,Audi,hatch,*,A7,*,12126
*,Toyota,van,*,Previa,*,12127
*,Mitsubishi,other,*,Pajero Wagon,*,12128
*,Volkswagen,hatch,*,Beetle,*,12129
*,Mercedes-Benz,other,*,Sprinter 311,*,12132
*,Mercedes-Benz,hatch,*,A 160,*,12133
*,Mitsubishi,other,*,Lancer,*,12135
*,Mitsubishi,sedan,*,Carisma,*,12136
*,Mitsubishi,other,*,Eclipse,*,12137
*,Audi,hatch,*,A5,*,12140
*,Mercedes-Benz,hatch,*,B-Class Electric Drive,*,12141
*,Toyota,sedan,*,Carina,*,12142
*,Volkswagen,other,*,Passat B5,*,12143
*,Volkswagen,other,*,Polo,*,12144
*,Volkswagen,crossover,*,Passat CC,*,12146
*,Toyota,sedan,*,Rav 4,*,12147
*,Renault,other,*,Megane,*,12148
*,Mercedes-Benz,sedan,*,S 55,*,12149
*,Volkswagen,sedan,*,Golf VI,*,12150
*,Volkswagen,van,*,T3 (Transporter),*,12152
*,BMW,vagon,*,330,*,12153
*,Toyota,vagon,*,FJ Cruiser,*,12154
*,BMW,other,*,325,*,12155
*,Volkswagen,vagon,*,Touran,*,12156
*,Toyota,vagon,*,Vista,*,12158
*,Volkswagen,vagon,*,Passat B4,*,12159
*,Mercedes-Benz,other,*,G 350,*,12161
*,Audi,other,*,80,*,12162
*,Mercedes-Benz,sedan,*,S-Guard,*,12164
*,BMW,hatch,*,X6,*,12165
*,Volkswagen,sedan,*,Caddy,*,12166
*,Toyota,other,*,Venza,*,12167
*,Renault,sedan,*,25,*,12168
*,Volkswagen,vagon,*,Golf VII,*,12169
*,Renault,sedan,*,21,*,12170
*,Audi,crossover,*,Q3,*,12171
*,BMW,sedan,*,316,*,12172
*,Mercedes-Benz,other,*,Viano,*,12173
*,Audi,sedan,*,S5,*,12175
*,Mitsubishi,vagon,*,Galant,*,12176
*,Renault,hatch,*,5,*,12177
*,Mercedes-Benz,crossover,*,GL 550,*,12178
*,Mercedes-Benz,hatch,*,B 170,*,12180
*,Toyota,vagon,*,Rav 4,*,12181
*,Renault,crossover,*,Kangoo,*,12182
*,Renault,sedan,*,9,*,12183
*,Mercedes-Benz,crossover,*,GL 420,*,12184
*,Mercedes-Benz,van,*,Sprinter 310,*,12185
*,Renault,other,*,Grand Scenic,*,12186
*,Renault,van,*,Dokker,*,12187
*,Mitsubishi,hatch,*,Carisma,*,12188
*,Volkswagen,van,*,Passat B6,*,12189
*,BMW,sedan,*,323,*,12190
*,Renault,hatch,*,Scenic,*,12191
*,Mercedes-Benz,van,*,Sprinter 319,*,12192
*,Mitsubishi,other,*,Pajero,*,12193
*,Mercedes-Benz,hatch,*,A 180,*,12194
*,Mercedes-Benz,sedan,*,GLE-Class,*,12195
*,Volkswagen,other,*,Eos,*,12196
*,Mercedes-Benz,other,*,ML 320,*,12197
*,Mercedes-Benz,other,*,GL 320,*,12198
*,BMW,other,*,335,*,12199
*,Mitsubishi,other,*,Lancer X,*,12200
*,Toyota,sedan,*,Avalon,*,12202
*,Mercedes-Benz,crossover,*,G 63 AMG,*,12203
*,Mercedes-Benz,van,*,Sprinter 313,*,12204
*,Volkswagen,other,*,Tiguan,*,12205
*,Mitsubishi,other,*,Galant,*,12206
*,Audi,sedan,*,S8,*,12207
*,Renault,hatch,*,Modus,*,12208
*,Toyota,van,*,Tacoma,*,12209
*,Mercedes-Benz,crossover,*,R 320,*,12210
*,BMW,other,*,525,*,12211
*,Mercedes-Benz,other,*,S 600,*,12212
*,BMW,sedan,*,Alpina,*,12214
*,Mercedes-Benz,crossover,*,G 350,*,12216
*,Toyota,hatch,*,Aygo,*,12217
*,Mercedes-Benz,crossover,*,GL 500,*,12219
*,Mercedes-Benz,crossover,*,S 63 AMG,*,12220
*,Volkswagen,hatch,*,New Beetle,*,12221
*,Toyota,vagon,*,Camry,*,12222
*,Audi,other,*,100,*,12223
*,Mercedes-Benz,sedan,*,S 140,*,12224
*,Renault,sedan,*,Clio,*,12226
*,Mercedes-Benz,van,*,Sprinter,*,12228
*,Toyota,crossover,*,Tundra,*,12229
*,Volkswagen,van,*,Cross Touran,*,12230
*,Toyota,crossover,*,Matrix,*,12231
*,Mercedes-Benz,sedan,*,210,*,12232
*,BMW,other,*,530,*,12233
*,Volkswagen,vagon,*,Caddy,*,12234
*,Renault,sedan,*,Scenic,*,12235
*,Mercedes-Benz,sedan,*,V 250,*,12236
*,Mercedes-Benz,other,*,ML 430,*,12237
*,Volkswagen,vagon,*,Passat B3,*,12238
*,Mercedes-Benz,other,*,S 63 AMG,*,12239
*,Audi,van,*,A6,*,12240
*,Mitsubishi,vagon,*,Colt,*,12241
*,BMW,other,*,730,*,12242
*,Mercedes-Benz,sedan,*,S 65 AMG,*,12245
*,Audi,other,*,S4,*,12246
*,Volkswagen,vagon,*,Sharan,*,12248
*,Mitsubishi,sedan,*,Virage,*,12249
*,BMW,vagon,*,X3,*,12251
*,Toyota,crossover,*,Land Cruiser 105,*,12252
*,Volkswagen,sedan,*,Golf IV,*,12253
*,Mercedes-Benz,other,*,Sprinter 208,*,12254
*,Mercedes-Benz,sedan,*,CLS 400,*,12255
*,Mercedes-Benz,vagon,*,250,*,12256
*,Mercedes-Benz,sedan,*,S 430,*,12257
*,Mercedes-Benz,other,*,CLK 230,*,12259
*,Mitsubishi,hatch,*,Lancer,*,12260
*,Mercedes-Benz,van,*,Sprinter 316,*,12263
*,Volkswagen,other,*,Golf VII,*,12264
*,Mercedes-Benz,sedan,*,220,*,12266
*,Mitsubishi,vagon,*,Outlander XL,*,12267
*,Mitsubishi,van,*,Space Wagon,*,12268
*,Mercedes-Benz,crossover,*,GLS 400,*,12269
*,BMW,crossover,*,535,*,12272
*,Mercedes-Benz,other,*,CL 550,*,12273
*,Mercedes-Benz,other,*,Smart,*,12274
*,Mitsubishi,van,*,Space Star,*,12275
*,BMW,other,*,328,*,12276
*,Mercedes-Benz,sedan,*,SL 500 (550),*,12277
*,Toyota,crossover,*,Tacoma,*,12278
*,Mercedes-Benz,sedan,*,320,*,12281
*,Mercedes-Benz,van,*,Sprinter 210,*,12282
*,Mercedes-Benz,sedan,*,S 300,*,12283
*,Mercedes-Benz,other,*,MB,*,12284
*,Toyota,sedan,*,Auris,*,12285
*,Mercedes-Benz,sedan,*,Sprinter 208,*,12286
*,Audi,other,*,A4,*,12287
*,Mercedes-Benz,sedan,*,CLS 500,*,12288
*,Mercedes-Benz,other,*,CL 55 AMG,*,12289
*,Volkswagen,other,*,Caravelle,*,12291
*,Mercedes-Benz,sedan,*,S 250,*,12293
*,Mercedes-Benz,vagon,*,CLS 350,*,12294
*,Renault,vagon,*,25,*,12295
*,Mercedes-Benz,other,*,SLK 350,*,12296
*,Mercedes-Benz,other,*,Sprinter 213,*,12297
*,Mercedes-Benz,crossover,*,ML 400,*,12302
*,Toyota,sedan,*,Mark II,*,12303
*,BMW,other,*,640,*,12307
*,Mitsubishi,sedan,*,Lancer Evolution,*,12308
*,Mercedes-Benz,sedan,*,CL 180,*,12309
*,Mercedes-Benz,sedan,*,CLS 63 AMG,*,12310
*,Renault,crossover,*,Scenic,*,12311
*,Volkswagen,crossover,*,T6 (Transporter) ,*,12312
*,Mitsubishi,van,*,Grandis,*,12313
*,Toyota,vagon,*,Corolla Verso,*,12314
*,Mercedes-Benz,sedan,*,CLA-Class,*,12315
*,Volkswagen,other,*,T6 (Transporter),*,12317
*,BMW,hatch,*,4 Series Gran Coupe,*,12318
*,Toyota,other,*,Land Cruiser 200,*,12319
*,BMW,hatch,*,120,*,12320
*,BMW,other,*,428,*,12321
*,Mercedes-Benz,crossover,*,GLK 300,*,12322
*,Audi,hatch,*,100,*,12324
*,Volkswagen,hatch,*,Pointer,*,12325
*,Renault,crossover,*,Captur,*,12326
*,Mercedes-Benz,other,*,S 320,*,12327
*,Mercedes-Benz,van,*,Sprinter 213,*,12328
*,Volkswagen,sedan,*,Touareg,*,12329
*,Renault,vagon,*,Trafic,*,12332
*,Mercedes-Benz,vagon,*,230,*,12333
*,Volkswagen,vagon,*,T6 (Transporter) ,*,12334
*,BMW,sedan,*,760,*,12335
*,Mercedes-Benz,hatch,*,B 180,*,12336
*,Renault,crossover,*,Sandero StepWay,*,12337
*,Mercedes-Benz,vagon,*,B 180,*,12339
*,Mercedes-Benz,other,*,S 350,*,12340
*,Mercedes-Benz,sedan,*,CLA 220,*,12341
*,Volkswagen,vagon,*,Passat B8,*,12342
*,Mercedes-Benz,other,*,Sprinter 312,*,12344
*,Mercedes-Benz,other,*,230,*,12345
*,Mercedes-Benz,vagon,*,A 170,*,12347
*,Mitsubishi,van,*,L 400,*,12348
*,BMW,sedan,*,545,*,12349
*,BMW,sedan,*,728,*,12350
*,Volkswagen,other,*,Golf VI,*,12351
*,Volkswagen,van,*,LT,*,12352
*,Mercedes-Benz,crossover,*,ML 550,*,12353
*,Mercedes-Benz,other,*,CLC 180,*,12354
*,Volkswagen,hatch,*,Caddy,*,12356
*,Toyota,vagon,*,Auris,*,12357
*,Mercedes-Benz,crossover,*,ML 500,*,12359
*,Mercedes-Benz,sedan,*,Vito,*,12360
*,Volkswagen,hatch,*,Scirocco,*,12361
*,Mercedes-Benz,other,*,S 430,*,12363
*,BMW,hatch,*,535,*,12365
*,Mitsubishi,crossover,*,L 200,*,12370
*,Renault,hatch,*,25,*,12372
*,BMW,sedan,*,324,*,12373
*,BMW,vagon,*,528,*,12374
*,Mercedes-Benz,sedan,*,S 420,*,12376
*,BMW,other,*,528,*,12377
*,Volkswagen,other,*,T2 (Transporter),*,12378
*,Mercedes-Benz,other,*,S 140,*,12380
*,BMW,vagon,*,M5,*,12381
*,BMW,sedan,*,6 Series Gran Coupe,*,12382
*,Mercedes-Benz,other,*,SL 55 AMG,*,12384
*,BMW,other,*,650,*,12386
*,Mercedes-Benz,van,*,Sprinter 324,*,12388
*,Mercedes-Benz,vagon,*,Vito,*,12389
*,Mitsubishi,vagon,*,Pajero Wagon,*,12391
*,Toyota,van,*,Lite Ace,*,12392
*,Mercedes-Benz,van,*,C-Class,*,12393
*,BMW,vagon,*,118,*,12394
*,Toyota,vagon,*,Avensis,*,12395
*,Toyota,crossover,*,4Runner,*,12396
*,Toyota,crossover,*,Sequoia,*,12397
*,Volkswagen,sedan,*,Golf Plus,*,12399
*,Mercedes-Benz,hatch,*,Vito,*,12400
*,Renault,hatch,*,11,*,12401
*,Toyota,hatch,*,Carina,*,12402
*,Mercedes-Benz,hatch,*,C-Class,*,12403
*,Mercedes-Benz,other,*,Sprinter 315,*,12404
*,Volkswagen,sedan,*,T5 (Transporter),*,12406
*,BMW,other,*,330,*,12408
*,Volkswagen,van,*,Syncro,*,12409
*,Volkswagen,other,*,Golf Variant,*,12410
*,Toyota,other,*,Scion,*,12412
*,Mercedes-Benz,other,*,G 500,*,12414
1991,BMW,sedan,*,320,*,12415
1999,Mercedes-Benz,van,*,Sprinter 212,*,12416
2003,Mercedes-Benz,sedan,*,S 500,*,12417
2007,Audi,crossover,*,Q7,*,12418
2011,Toyota,crossover,*,Rav 4,*,12419
2016,Mercedes-Benz,crossover,*,GLS 63,*,12420
1997,BMW,sedan,*,320,*,12421
2006,Audi,vagon,*,A6,*,12422
2012,Renault,vagon,*,Megane,*,12423
1999,Volkswagen,other,*,Golf IV,*,12424
2011,Renault,vagon,*,Megane,*,12425
1994,Renault,sedan,*,19,*,12426
2003,Audi,vagon,*,A6 Allroad,*,12427
2008,Volkswagen,sedan,*,Passat B6,*,12428
2001,Toyota,crossover,*,Land Cruiser 100,*,12429
2012,Renault,hatch,*,Clio,*,12430
2001,BMW,other,*,318,*,12431
2007,Mercedes-Benz,van,*,Vito,*,12432
2013,Toyota,crossover,*,Rav 4,*,12433
1998,Audi,vagon,*,A6,*,12434
2016,Toyota,other,*,Hilux,*,12435
2006,Volkswagen,hatch,*,Polo,*,12436
1998,Audi,sedan,*,A6,*,12437
2006,Mitsubishi,crossover,*,Outlander,*,12438
2008,Audi,sedan,*,A8,*,12439
2008,Volkswagen,crossover,*,Touareg,*,12440
1999,Audi,sedan,*,A6,*,12441
2011,Mercedes-Benz,other,*,Vito,*,12442
2010,Mitsubishi,hatch,*,Colt,*,12443
2016,Mercedes-Benz,crossover,*,GLS 500,*,12444
1989,Audi,sedan,*,100,*,12445
2007,BMW,other,*,Z4,*,12446
2008,Mitsubishi,crossover,*,Pajero Wagon,*,12447
2008,BMW,crossover,*,X5,*,12448
2009,Volkswagen,van,*,Caddy,*,12449
2006,Toyota,sedan,*,Camry,*,12450
1996,BMW,sedan,*,528,*,12451
2016,BMW,crossover,*,X5,*,12452
2014,Audi,other,*,TT,*,12453
2000,Audi,sedan,*,A4,*,12454
2004,Mercedes-Benz,van,*,Vito,*,12455
2009,Mercedes-Benz,crossover,*,G 55 AMG,*,12456
1998,BMW,sedan,*,528,*,12457
2006,Mercedes-Benz,van,*,Vito,*,12458
2008,Toyota,sedan,*,Camry,*,12459
2012,BMW,crossover,*,X6,*,12460
1987,Mitsubishi,sedan,*,Galant,*,12461
1990,BMW,sedan,*,525,*,12462
2008,Mercedes-Benz,sedan,*,S 500,*,12463
2007,Mercedes-Benz,sedan,*,E-Class,*,12464
2014,Renault,van,*,Kangoo,*,12465
2008,Mercedes-Benz,crossover,*,ML 350,*,12466
2001,Mercedes-Benz,sedan,*,S 500,*,12467
2008,Mercedes-Benz,van,*,Vito,*,12468
2016,Mercedes-Benz,crossover,*,GLS 350,*,12469
2005,Toyota,sedan,*,Camry,*,12470
2006,Volkswagen,vagon,*,Passat B6,*,12471
2007,BMW,crossover,*,X5,*,12472
2010,BMW,sedan,*,730,*,12473
1995,BMW,other,*,318,*,12474
2002,Renault,van,*,Trafic,*,12475
2015,BMW,crossover,*,X5 M,*,12476
1995,BMW,sedan,*,318,*,12477
2006,Mercedes-Benz,sedan,*,S 350,*,12478
2008,Renault,van,*,Trafic,*,12479
2005,Mercedes-Benz,van,*,Vito,*,12480
2015,Audi,crossover,*,A6 Allroad,*,12481
2007,Mitsubishi,sedan,*,Lancer,*,12482
2003,Audi,sedan,*,A6,*,12483
2000,Mercedes-Benz,sedan,*,E-Class,*,12485
2008,Renault,vagon,*,Scenic,*,12486
2011,Mercedes-Benz,sedan,*,E-Class,*,12487
2006,BMW,sedan,*,330,*,12488
2006,Mercedes-Benz,sedan,*,E-Class,*,12489
2001,Volkswagen,sedan,*,Passat B5,*,12490
2012,Volkswagen,van,*,Caddy,*,12491
2004,Audi,hatch,*,A3,*,12492
2003,Toyota,crossover,*,Land Cruiser Prado,*,12493
2012,Mercedes-Benz,sedan,*,E-Class,*,12494
2002,Volkswagen,van,*,Caravelle,*,12495
2014,Volkswagen,hatch,*,Polo,*,12496
1999,BMW,sedan,*,525,*,12497
2009,Renault,van,*,Kangoo,*,12498
2004,Renault,vagon,*,Megane,*,12499
2006,Audi,sedan,*,A8,*,12500
2009,Toyota,sedan,*,Avensis,*,12501
2007,Mercedes-Benz,crossover,*,GL 320,*,12502
2016,Mercedes-Benz,crossover,*,GL 350,*,12503
2008,Mercedes-Benz,crossover,*,GL 450,*,12504
2000,Audi,vagon,*,A6,*,12505
2008,Mitsubishi,sedan,*,Lancer X,*,12506
1992,Mercedes-Benz,sedan,*,200,*,12507
2011,Renault,other,*,Kangoo,*,12508
1988,BMW,sedan,*,520,*,12509
2014,Volkswagen,crossover,*,Tiguan,*,12510
2003,Renault,van,*,Kangoo,*,12511
2004,Volkswagen,other,*,Caddy,*,12512
2012,Renault,van,*,Kangoo,*,12513
2011,Mitsubishi,crossover,*,Outlander XL,*,12514
1999,BMW,sedan,*,320,*,12515
2015,Audi,sedan,*,A5,*,12516
2002,Toyota,crossover,*,Land Cruiser 100,*,12517
2010,BMW,crossover,*,X6 M,*,12518
1994,BMW,sedan,*,520,*,12519
2014,BMW,other,*,Z4,*,12520
2005,Toyota,crossover,*,Land Cruiser Prado,*,12521
2008,Mitsubishi,crossover,*,Outlander,*,12522
2012,Mitsubishi,sedan,*,Lancer X,*,12523
2007,Volkswagen,sedan,*,Passat B6,*,12524
2010,Renault,van,*,Scenic,*,12525
1986,Mitsubishi,sedan,*,Galant,*,12526
2014,BMW,sedan,*,520,*,12527
1994,Volkswagen,other,*,Golf III,*,12528
2002,BMW,crossover,*,X5,*,12529
2014,Mercedes-Benz,sedan,*,S 350,*,12530
2005,Mercedes-Benz,hatch,*,A 150,*,12531
2008,Toyota,crossover,*,FJ Cruiser,*,12532
2013,Volkswagen,hatch,*,Golf GTI,*,12533
2008,Renault,van,*,Kangoo,*,12534
2010,Renault,crossover,*,Koleos,*,12535
2001,Volkswagen,van,*,T4 (Transporter),*,12536
2016,Toyota,crossover,*,Land Cruiser 200,*,12537
2013,Volkswagen,sedan,*,Passat B7,*,12538
2011,Volkswagen,other,*,Scirocco,*,12539
2005,BMW,sedan,*,M5,*,12540
2002,BMW,other,*,320,*,12541
2013,Toyota,crossover,*,Venza,*,12542
2008,BMW,other,*,X5,*,12543
2003,Toyota,crossover,*,Rav 4,*,12544
2006,Audi,sedan,*,A6,*,12545
2010,Mercedes-Benz,sedan,*,E-Class,*,12546
1980,Audi,sedan,*,80,*,12547
2003,BMW,sedan,*,520,*,12548
2011,Audi,other,*,A5,*,12549
2008,Toyota,crossover,*,Land Cruiser Prado,*,12550
2016,Mercedes-Benz,van,*,V 250,*,12551
2008,Volkswagen,van,*,Caddy,*,12552
2003,Audi,vagon,*,A6,*,12553
2006,Audi,other,*,A6,*,12554
2009,Renault,van,*,Trafic,*,12555
2005,Mercedes-Benz,crossover,*,ML 270,*,12556
2005,BMW,crossover,*,X5,*,12557
2010,BMW,crossover,*,X5,*,12558
2011,Volkswagen,crossover,*,Tiguan,*,12559
2011,Mercedes-Benz,sedan,*,C-Class,*,12560
2008,Mercedes-Benz,sedan,*,E-Class,*,12561
2014,BMW,sedan,*,730,*,12562
2001,Volkswagen,hatch,*,Lupo,*,12563
2002,BMW,sedan,*,5 Series,*,12564
2013,Mercedes-Benz,sedan,*,CLA 200,*,12565
2006,Volkswagen,other,*,T5 (Transporter),*,12566
2012,Toyota,crossover,*,Highlander,*,12567
2000,BMW,vagon,*,525,*,12568
1999,Renault,van,*,Kangoo,*,12569
2000,BMW,sedan,*,525,*,12570
2005,Renault,sedan,*,Megane,*,12571
1996,BMW,sedan,*,318,*,12572
2013,Renault,other,*,Trafic,*,12573
2004,Renault,sedan,*,Megane,*,12574
2015,Mercedes-Benz,other,*,S 500,*,12575
2007,Toyota,sedan,*,Corolla,*,12576
2010,Volkswagen,hatch,*,Polo,*,12577
2003,Toyota,crossover,*,Land Cruiser 100,*,12578
2013,Audi,crossover,*,Q7,*,12579
2008,Volkswagen,van,*,T5 (Transporter),*,12580
2007,Mitsubishi,sedan,*,Galant,*,12581
2012,Renault,van,*,Trafic,*,12582
1997,BMW,sedan,*,5 Series,*,12583
2004,Audi,sedan,*,A8,*,12584
2004,Mercedes-Benz,other,*,CLK 240,*,12585
1998,Volkswagen,hatch,*,Golf IV,*,12586
2012,Volkswagen,sedan,*,Passat CC,*,12587
2015,BMW,vagon,*,I3,*,12588
2004,Mitsubishi,hatch,*,Colt,*,12589
2012,Volkswagen,sedan,*,Passat B7,*,12590
2005,Volkswagen,van,*,Multivan,*,12591
2008,Mercedes-Benz,other,*,C-Class,*,12592
2006,Volkswagen,sedan,*,Passat B6,*,12593
2016,Volkswagen,sedan,*,Polo,*,12594
2011,Volkswagen,vagon,*,Passat B7,*,12595
2003,Mercedes-Benz,van,*,Vaneo,*,12596
2011,BMW,crossover,*,X1,*,12597
2005,BMW,other,*,M5,*,12598
2011,Volkswagen,van,*,T5 (Transporter) ,*,12599
2013,Volkswagen,other,*,Scirocco,*,12600
1999,Volkswagen,vagon,*,Passat B5,*,12601
2007,Toyota,crossover,*,Land Cruiser 100,*,12602
1996,Mitsubishi,hatch,*,Colt,*,12603
2005,Mercedes-Benz,sedan,*,S 400,*,12604
2004,BMW,crossover,*,X5,*,12605
2007,Mercedes-Benz,sedan,*,S 550,*,12606
2000,Volkswagen,crossover,*,Golf IV,*,12607
2013,Volkswagen,sedan,*,Passat CC,*,12608
1991,BMW,sedan,*,520,*,12609
1998,Volkswagen,sedan,*,Passat B5,*,12610
2010,Audi,vagon,*,A4 Allroad,*,12611
2012,BMW,sedan,*,528,*,12612
1996,Volkswagen,sedan,*,Passat B4,*,12613
1989,Volkswagen,other,*,Golf II,*,12615
2011,Toyota,crossover,*,Land Cruiser 200,*,12616
2016,Mitsubishi,other,*,L 200,*,12617
2016,Volkswagen,sedan,*,Jetta,*,12618
2011,Renault,sedan,*,Logan,*,12619
2007,Volkswagen,other,*,Multivan,*,12620
1991,BMW,sedan,*,525,*,12621
1997,Mercedes-Benz,sedan,*,E-Class,*,12622
2008,Mitsubishi,crossover,*,Pajero Sport,*,12623
2014,Renault,van,*,Trafic,*,12624
2001,BMW,sedan,*,730,*,12625
2000,Mercedes-Benz,van,*,Sprinter 312,*,12626
2009,Mitsubishi,hatch,*,Lancer X Sportback,*,12627
2004,Mercedes-Benz,sedan,*,E-Class,*,12628
2010,BMW,crossover,*,X6,*,12629
2010,Toyota,crossover,*,Land Cruiser Prado,*,12630
2011,Mercedes-Benz,other,*,E-Class,*,12631
2007,Volkswagen,hatch,*,Golf Plus,*,12632
2011,Volkswagen,sedan,*,Passat CC,*,12633
2015,Toyota,crossover,*,Rav 4,*,12634
2010,Audi,crossover,*,Q7,*,12635
2012,Volkswagen,hatch,*,Up,*,12636
2015,Audi,other,*,A6,*,12637
2013,Toyota,sedan,*,Corolla,*,12638
2006,Toyota,sedan,*,Avensis,*,12639
2012,Volkswagen,other,*,Amarok,*,12640
1991,Volkswagen,sedan,*,Passat B3,*,12641
2003,Mercedes-Benz,crossover,*,G 320,*,12642
2004,Mercedes-Benz,sedan,*,S 500,*,12643
2014,Toyota,hatch,*,Auris,*,12644
2013,Mercedes-Benz,van,*,Vito,*,12645
1999,Audi,vagon,*,A6,*,12646
2003,BMW,sedan,*,530,*,12647
2008,Volkswagen,sedan,*,Jetta,*,12648
2013,Volkswagen,vagon,*,Passat B7,*,12649
2012,Toyota,crossover,*,Land Cruiser Prado,*,12650
2007,Mercedes-Benz,other,*,CL 500,*,12651
2012,Renault,other,*,Kangoo,*,12652
2011,BMW,crossover,*,X5,*,12653
2008,Volkswagen,van,*,T5 (Transporter) ,*,12654
2010,Renault,vagon,*,Megane,*,12655
2011,Renault,hatch,*,Kangoo,*,12656
2000,Mercedes-Benz,van,*,Vito,*,12657
2011,BMW,crossover,*,X6,*,12659
2013,Volkswagen,van,*,Caddy,*,12660
2007,Audi,sedan,*,A6,*,12661
2000,Renault,van,*,Master,*,12663
2016,Volkswagen,crossover,*,Touareg,*,12664
2009,Toyota,crossover,*,Land Cruiser 200,*,12665
2014,Toyota,sedan,*,Corolla,*,12666
1979,Toyota,sedan,*,Corolla,*,12667
2013,Volkswagen,van,*,Multivan,*,12668
2013,Renault,other,*,Kangoo,*,12669
2013,Renault,sedan,*,Logan,*,12670
2016,Renault,vagon,*,Dokker,*,12671
2011,Renault,van,*,Trafic,*,12672
1997,BMW,sedan,*,540,*,12673
2014,Audi,other,*,A8,*,12674
2009,Renault,hatch,*,Megane,*,12675
2002,Toyota,sedan,*,Camry,*,12676
2002,Volkswagen,vagon,*,Passat B5,*,12677
1998,Mercedes-Benz,crossover,*,ML 320,*,12678
2012,Toyota,hatch,*,Auris,*,12679
2011,Volkswagen,other,*,T5 (Transporter) ,*,12680
2006,Mitsubishi,sedan,*,Lancer,*,12681
2001,Renault,van,*,Kangoo,*,12682
2007,Renault,vagon,*,Kangoo,*,12683
2002,Renault,van,*,Kangoo,*,12684
2007,Volkswagen,crossover,*,Touareg,*,12685
2008,Mitsubishi,crossover,*,Outlander XL,*,12686
2007,Renault,van,*,Kangoo,*,12687
2013,Renault,van,*,Kangoo,*,12688
2007,Mitsubishi,crossover,*,Pajero Wagon,*,12689
2003,Volkswagen,vagon,*,Passat B5,*,12690
2006,Volkswagen,other,*,Multivan,*,12691
2003,BMW,sedan,*,318,*,12692
2002,Volkswagen,sedan,*,Passat B5,*,12693
2004,BMW,sedan,*,318,*,12694
2011,Volkswagen,hatch,*,Golf VI,*,12695
2014,Volkswagen,hatch,*,Golf VII,*,12696
2002,Mercedes-Benz,hatch,*,A 170,*,12698
2012,Mercedes-Benz,van,*,Vito,*,12699
2001,Renault,vagon,*,Laguna,*,12700
2003,Volkswagen,sedan,*,New Beetle,*,12701
2015,Volkswagen,crossover,*,Touareg,*,12702
1996,Mitsubishi,sedan,*,Galant,*,12704
2009,Toyota,sedan,*,Camry,*,12705
1991,Toyota,other,*,Corolla,*,12706
2014,BMW,crossover,*,X5,*,12707
2014,Volkswagen,sedan,*,Passat B7,*,12709
1997,Mitsubishi,crossover,*,Pajero,*,12710
2011,Mercedes-Benz,other,*,Sprinter 319,*,12711
2010,Mercedes-Benz,other,*,S 500,*,12712
2014,Audi,other,*,A5,*,12713
2000,BMW,crossover,*,X5,*,12714
2005,BMW,sedan,*,320,*,12715
