Year,Brand,Category,sid
*,Mazda,SUV,128
*,Toyota,Midsize,129
*,Toyota,Subcompact,130
*,Toyota,SUV,131
*,Volkswagen,Compact,132
*,Volkswagen,Midsize,133
*,Volkswagen,Sporty,134
*,Volkswagen,Subcompact,135
*,Volkswagen,SUV,136
2007,BMW,Compact,137
2008,BMW,Compact,138
2009,BMW,Compact,139
2010,BMW,Compact,140
2011,BMW,Compact,141
2007,BMW,Fullsize,142
2008,BMW,Fullsize,143
2009,BMW,Fullsize,144
2010,BMW,Fullsize,145
2011,BMW,Fullsize,146
2008,BMW,Midsize,147
2009,BMW,Midsize,148
2010,BMW,Midsize,149
2011,BMW,Midsize,150
2007,BMW,Sporty,151
2008,BMW,Sporty,152
2009,BMW,Sporty,153
2010,BMW,Sporty,154
2011,BMW,Sporty,155
2007,BMW,Subcompact,156
2008,BMW,Subcompact,157
2009,BMW,Subcompact,158
2010,BMW,Subcompact,159
2011,BMW,Subcompact,160
2007,BMW,SUV,161
2008,BMW,SUV,162
2009,BMW,SUV,163
2010,BMW,SUV,164
2011,BMW,SUV,165
2007,Ford,Compact,166
2008,Ford,Compact,167
2009,Ford,Compact,168
2010,Ford,Compact,169
2011,Ford,Compact,170
2007,Ford,Fullsize,171
2008,Ford,Fullsize,172
2009,Ford,Fullsize,173
2010,Ford,Fullsize,174
2011,Ford,Fullsize,175
2007,Ford,Midsize,176
2008,Ford,Midsize,177
2009,Ford,Midsize,178
2010,Ford,Midsize,179
2011,Ford,Midsize,180
2007,Ford,Pickup,181
2008,Ford,Pickup,182
2009,Ford,Pickup,183
2010,Ford,Pickup,184
2011,Ford,Pickup,185
2007,Ford,Sporty,186
2008,Ford,Sporty,187
2009,Ford,Sporty,188
2010,Ford,Sporty,189
2011,Ford,Sporty,190
2007,Ford,Subcompact,191
2008,Ford,Subcompact,192
2009,Ford,Subcompact,193
2010,Ford,Subcompact,194
2011,Ford,Subcompact,195
2007,Ford,SUV,196
2008,Ford,SUV,197
2009,Ford,SUV,198
2010,Ford,SUV,199
2011,Ford,SUV,200
2007,GMC,Pickup,201
2008,GMC,Pickup,202
2009,GMC,Pickup,203
2010,GMC,Pickup,204
2011,GMC,Pickup,205
2007,GMC,SUV,206
2008,GMC,SUV,207
2009,GMC,SUV,208
2010,GMC,SUV,209
2011,GMC,SUV,210
2007,Honda,Midsize,211
2008,Honda,Midsize,212
2009,Honda,Midsize,213
2010,Honda,Midsize,214
2011,Honda,Midsize,215
2007,Honda,Subcompact,216
