date,county,state,sid
2021/1/20,Lamar,*,721
2021/1/20,Lauderdale,*,722
2021/1/20,Lawrence,*,723
2021/1/20,Lee,*,724
2021/1/20,Limestone,*,725
2021/1/20,Lowndes,*,726
2021/1/20,Macon,*,727
2021/1/20,Madison,*,728
2021/1/20,Marengo,*,729
2021/1/20,Marion,*,730
2021/1/20,Marshall,*,731
2021/1/20,Mobile,*,732
2021/1/20,Monroe,*,733
2021/1/20,Montgomery,*,734
2021/1/20,Morgan,*,735
2021/1/20,Perry,*,736
2021/1/20,Pickens,*,737
2021/1/20,Pike,*,738
2021/1/20,Randolph,*,739
2021/1/20,Russell,*,740
2021/1/20,Shelby,*,741
2021/1/20,St. Clair,*,742
2021/1/20,Sumter,*,743
2021/1/20,Talladega,*,744
2021/1/20,Tallapoosa,*,745
2021/1/20,Tuscaloosa,*,746
2021/1/20,Walker,*,747
2021/1/20,Washington,*,748
2021/1/20,Wilcox,*,749
2021/1/20,Winston,*,750
2021/1/20,Kent,*,751
2021/1/20,New Castle,*,752
2021/1/20,Sussex,*,753
2021/1/20,Unknown,*,754
2021/1/20,Alachua,*,755
2021/1/20,Baker,*,756
2021/1/20,Bay,*,757
2021/1/20,Bradford,*,758
2021/1/20,Brevard,*,759
2021/1/20,Broward,*,760
2021/1/20,Charlotte,*,761
2021/1/20,Citrus,*,762
2021/1/20,Collier,*,763
2021/1/20,Columbia,*,764
2021/1/20,DeSoto,*,765
2021/1/20,Dixie,*,766
2021/1/20,Duval,*,767
2021/1/20,Flagler,*,768
2021/1/20,Gadsden,*,769
2021/1/20,Gilchrist,*,770
2021/1/20,Glades,*,771
2021/1/20,Gulf,*,772
2021/1/20,Hamilton,*,773
2021/1/20,Hardee,*,774
2021/1/20,Hendry,*,775
2021/1/20,Hernando,*,776
2021/1/20,Highlands,*,777
2021/1/20,Hillsborough,*,778
2021/1/20,Holmes,*,779
2021/1/20,Indian River,*,780
2021/1/20,Lafayette,*,781
2021/1/20,Lake,*,782
2021/1/20,Leon,*,783
2021/1/20,Levy,*,784
2021/1/20,Liberty,*,785
2021/1/20,Manatee,*,786
2021/1/20,Martin,*,787
2021/1/20,Miami-Dade,*,788
2021/1/20,Nassau,*,789
2021/1/20,Okaloosa,*,790
2021/1/20,Okeechobee,*,791
2021/1/20,Orange,*,792
2021/1/20,Osceola,*,793
2021/1/20,Palm Beach,*,794
2021/1/20,Pasco,*,795
2021/1/20,Pinellas,*,796
2021/1/20,Polk,*,797
2021/1/20,Putnam,*,798
2021/1/20,Santa Rosa,*,799
2021/1/20,Sarasota,*,800
2021/1/20,Seminole,*,801
2021/1/20,St. Johns,*,802
2021/1/20,St. Lucie,*,803
2021/1/20,Suwannee,*,804
2021/1/20,Taylor,*,805
2021/1/20,Union,*,806
2021/1/20,Volusia,*,807
2021/1/20,Wakulla,*,808
2021/1/20,Walton,*,809
2021/1/20,Appling,*,810
2021/1/20,Atkinson,*,811
2021/1/20,Bacon,*,812
2021/1/20,Banks,*,813
2021/1/20,Barrow,*,814
2021/1/20,Bartow,*,815
2021/1/20,Ben Hill,*,816
2021/1/20,Berrien,*,817
2021/1/20,Bleckley,*,818
2021/1/20,Brantley,*,819
2021/1/20,Brooks,*,820
2021/1/20,Bryan,*,821
2021/1/20,Bulloch,*,822
2021/1/20,Burke,*,823
2021/1/20,Butts,*,824
2021/1/20,Camden,*,825
2021/1/20,Candler,*,826
2021/1/20,Carroll,*,827
2021/1/20,Catoosa,*,828
2021/1/20,Charlton,*,829
2021/1/20,Chatham,*,830
2021/1/20,Chattahoochee,*,831
2021/1/20,Chattooga,*,832
2021/1/20,Clayton,*,833
2021/1/20,Clinch,*,834
2021/1/20,Cobb,*,835
2021/1/20,Colquitt,*,836
2021/1/20,Cook,*,837
2021/1/20,Coweta,*,838
2021/1/20,Crawford,*,839
2021/1/20,Crisp,*,840
2021/1/20,Dade,*,841
2021/1/20,Dawson,*,842
2021/1/20,Decatur,*,843
2021/1/20,Dodge,*,844
2021/1/20,Dooly,*,845
2021/1/20,Dougherty,*,846
2021/1/20,Douglas,*,847
2021/1/20,Early,*,848
2021/1/20,Echols,*,849
2021/1/20,Effingham,*,850
2021/1/20,Elbert,*,851
2021/1/20,Emanuel,*,852
2021/1/20,Evans,*,853
2021/1/20,Fannin,*,854
2021/1/20,Floyd,*,855
2021/1/20,Forsyth,*,856
2021/1/20,Fulton,*,857
2021/1/20,Gilmer,*,858
2021/1/20,Glascock,*,859
2021/1/20,Glynn,*,860
2021/1/20,Gordon,*,861
2021/1/20,Grady,*,862
2021/1/20,Gwinnett,*,863
2021/1/20,Habersham,*,864
2021/1/20,Hall,*,865
2021/1/20,Hancock,*,866
2021/1/20,Haralson,*,867
2021/1/20,Harris,*,868
2021/1/20,Hart,*,869
2021/1/20,Heard,*,870
2021/1/20,Irwin,*,871
2021/1/20,Jasper,*,872
2021/1/20,Jeff Davis,*,873
2021/1/20,Jenkins,*,874
2021/1/20,Johnson,*,875
2021/1/20,Jones,*,876
2021/1/20,Lanier,*,877
2021/1/20,Laurens,*,878
2021/1/20,Lincoln,*,879
2021/1/20,Long,*,880
2021/1/20,Lumpkin,*,881
2021/1/20,McDuffie,*,882
2021/1/20,McIntosh,*,883
2021/1/20,Meriwether,*,884
2021/1/20,Miller,*,885
2021/1/20,Mitchell,*,886
2021/1/20,Murray,*,887
2021/1/20,Muscogee,*,888
2021/1/20,Newton,*,889
2021/1/20,Oconee,*,890
2021/1/20,Oglethorpe,*,891
2021/1/20,Paulding,*,892
2021/1/20,Peach,*,893
2021/1/20,Pierce,*,894
2021/1/20,Pulaski,*,895
2021/1/20,Quitman,*,896
2021/1/20,Rabun,*,897
2021/1/20,Richmond,*,898
2021/1/20,Rockdale,*,899
2021/1/20,Schley,*,900
2021/1/20,Screven,*,901
2021/1/20,Spalding,*,902
2021/1/20,Stephens,*,903
2021/1/20,Stewart,*,904
2021/1/20,Talbot,*,905
2021/1/20,Taliaferro,*,906
2021/1/20,Tattnall,*,907
2021/1/20,Telfair,*,908
2021/1/20,Terrell,*,909
2021/1/20,Thomas,*,910
2021/1/20,Tift,*,911
2021/1/20,Toombs,*,912
2021/1/20,Towns,*,913
2021/1/20,Treutlen,*,914
2021/1/20,Troup,*,915
2021/1/20,Turner,*,916
