Year,State,Producer Type,Energy Source,CO2 (kt),SO2 kt,cid
1990,WA,Commercial Cogen,Coal,75.717,1.119,2239
1991,WA,Commercial Cogen,Coal,75.717,1.119,2240
1992,WA,Commercial Cogen,Coal,75.717,1.119,2241
1993,WA,Commercial Cogen,Coal,53.104,0.786,2242
1994,WA,Commercial Cogen,Coal,30.194,0.444,2243
1995,WA,Commercial Cogen,Coal,48.173,0.396,2244
1996,WA,Commercial Cogen,Coal,29.563,0.247,2245
1997,WA,Commercial Cogen,Coal,41.775,0.169,2246
1998,WA,Commercial Cogen,Coal,32.245,0.164,2247
1999,WA,Commercial Cogen,Coal,37.307,0.267,2248
2000,WA,Commercial Cogen,Coal,43.485,0.286,2249
2001,WA,Commercial Cogen,Coal,54.161,0.343,2250
2002,WA,Commercial Cogen,Coal,51.225,0,2251
2003,WA,Commercial Cogen,Coal,53.341,0.386,2252
2004,WA,Commercial Cogen,Coal,7.998,0.057,2253
2005,WA,Commercial Cogen,Coal,0,0.03,2254
1990,WA,Commercial Cogen,Natural Gas,6.988,0,2255
1991,WA,Commercial Cogen,Natural Gas,6.988,0,2256
1992,WA,Commercial Cogen,Natural Gas,6.988,0,2257
1993,WA,Commercial Cogen,Natural Gas,21.604,0,2258
1994,WA,Commercial Cogen,Natural Gas,103.423,0,2259
1995,WA,Commercial Cogen,Natural Gas,98.26,0,2260
1996,WA,Commercial Cogen,Natural Gas,122.293,0,2261
1997,WA,Commercial Cogen,Natural Gas,118.485,0,2262
1998,WA,Commercial Cogen,Natural Gas,113.581,0,2263
1999,WA,Commercial Cogen,Natural Gas,120.142,0,2264
2000,WA,Commercial Cogen,Natural Gas,105.378,0,2265
2001,WA,Commercial Cogen,Natural Gas,91.171,0,2266
2002,WA,Commercial Cogen,Natural Gas,84.424,0,2267
2003,WA,Commercial Cogen,Natural Gas,89.445,0,2268
2004,WA,Commercial Cogen,Natural Gas,120.054,0,2269
2005,WA,Commercial Cogen,Natural Gas,97.186,0,2270
2006,WA,Commercial Cogen,Natural Gas,82.307,0,2271
2007,WA,Commercial Cogen,Natural Gas,2.577,0,2272
2008,WA,Commercial Cogen,Natural Gas,85.123,0,2273
2009,WA,Commercial Cogen,Natural Gas,85.129,0,2274
2010,WA,Commercial Cogen,Natural Gas,79.217,0,2275
2011,WA,Commercial Cogen,Natural Gas,83.069,0,2276
2012,WA,Commercial Cogen,Natural Gas,80.395,0,2277
2013,WA,Commercial Cogen,Natural Gas,84.535,0,2278
2014,WA,Commercial Cogen,Natural Gas,76.356,0,2279
2015,WA,Commercial Cogen,Natural Gas,78.417,0,2280
2012,WA,Commercial Cogen,Other Biomass,0,0,2281
2013,WA,Commercial Cogen,Other Biomass,0,0,2282
2014,WA,Commercial Cogen,Other Biomass,0,0,2283
2015,WA,Commercial Cogen,Other Biomass,0,0,2284
1994,WA,Commercial Cogen,Petroleum,3.685,0.013,2285
1995,WA,Commercial Cogen,Petroleum,2.707,0.006,2286
1996,WA,Commercial Cogen,Petroleum,4.963,0.01,2287
1997,WA,Commercial Cogen,Petroleum,4.963,0.01,2288
1998,WA,Commercial Cogen,Petroleum,41.411,0.095,2289
1999,WA,Commercial Cogen,Petroleum,8.565,0.018,2290
2000,WA,Commercial Cogen,Petroleum,2.912,0.006,2291
2003,WA,Commercial Cogen,Petroleum,0.868,0.001,2292
2004,WA,Commercial Cogen,Petroleum,2.849,0.004,2293
2005,WA,Commercial Cogen,Petroleum,4.399,0,2294
2006,WA,Commercial Cogen,Petroleum,3.636,0.006,2295
2007,WA,Commercial Cogen,Petroleum,0.072,0,2296
2008,WA,Commercial Cogen,Petroleum,5.282,0,2297
2009,WA,Commercial Cogen,Petroleum,1.718,0.001,2298
2010,WA,Commercial Cogen,Petroleum,0.938,0.001,2299
2011,WA,Commercial Cogen,Petroleum,0.769,0,2300
2012,WA,Commercial Cogen,Petroleum,0.105,0,2301
2013,WA,Commercial Cogen,Petroleum,1.704,0.003,2302
2014,WA,Commercial Cogen,Petroleum,1.696,0.003,2303
2015,WA,Commercial Cogen,Petroleum,0.082,0,2304
1990,WI,Commercial Cogen,Coal,16.764,0.235,2305
1992,WI,Commercial Cogen,Coal,16.764,0.235,2306
1993,WI,Commercial Cogen,Coal,11.727,0.165,2307
1994,WI,Commercial Cogen,Coal,8.527,0.124,2308
1995,WI,Commercial Cogen,Coal,11.656,0.075,2309
1996,WI,Commercial Cogen,Coal,261.952,1.947,2310
1997,WI,Commercial Cogen,Coal,281.885,2.272,2311
1998,WI,Commercial Cogen,Coal,302.705,2.466,2312
1999,WI,Commercial Cogen,Coal,326.539,2.075,2313
2000,WI,Commercial Cogen,Coal,357.15,2.072,2314
2001,WI,Commercial Cogen,Coal,373.776,14.92,2315
2002,WI,Commercial Cogen,Coal,364.272,17.07,2316
2003,WI,Commercial Cogen,Coal,354.645,2.963,2317
2004,WI,Commercial Cogen,Coal,324.692,2.52,2318
2005,WI,Commercial Cogen,Coal,392.387,3.044,2319
2006,WI,Commercial Cogen,Coal,353.464,2.743,2320
2007,WI,Commercial Cogen,Coal,412.124,2.829,2321
2008,WI,Commercial Cogen,Coal,269.583,3.177,2322
2009,WI,Commercial Cogen,Coal,195.369,1.344,2323
2010,WI,Commercial Cogen,Coal,193.067,1.348,2324
2011,WI,Commercial Cogen,Coal,173.448,1.274,2325
2012,WI,Commercial Cogen,Coal,31.544,0.378,2326
2013,WI,Commercial Cogen,Coal,20.01,0.108,2327
2014,WI,Commercial Cogen,Coal,12.099,0.064,2328
1990,WI,Commercial Cogen,Natural Gas,0,0,2329
1991,WI,Commercial Cogen,Natural Gas,0,0,2330
1992,WI,Commercial Cogen,Natural Gas,0,0,2331
1993,WI,Commercial Cogen,Natural Gas,0,0,2332
1994,WI,Commercial Cogen,Natural Gas,87.516,0,2333
1995,WI,Commercial Cogen,Natural Gas,85.091,0,2334
1996,WI,Commercial Cogen,Natural Gas,102.201,0,2335
1997,WI,Commercial Cogen,Natural Gas,156.303,0.001,2336
1998,WI,Commercial Cogen,Natural Gas,137.816,0,2337
1999,WI,Commercial Cogen,Natural Gas,96.101,0,2338
2000,WI,Commercial Cogen,Natural Gas,134.595,0,2339
2001,WI,Commercial Cogen,Natural Gas,108.596,0.008,2340
2002,WI,Commercial Cogen,Natural Gas,127.532,0.006,2341
2003,WI,Commercial Cogen,Natural Gas,26.991,0,2342
2004,WI,Commercial Cogen,Natural Gas,166.488,0,2343
2005,WI,Commercial Cogen,Natural Gas,109.752,0,2344
2006,WI,Commercial Cogen,Natural Gas,75.032,0,2345
2007,WI,Commercial Cogen,Natural Gas,85.874,0,2346
2008,WI,Commercial Cogen,Natural Gas,89.042,0,2347
2009,WI,Commercial Cogen,Natural Gas,153.279,0,2348
2010,WI,Commercial Cogen,Natural Gas,143.839,0,2349
2011,WI,Commercial Cogen,Natural Gas,132.507,0,2350
2012,WI,Commercial Cogen,Natural Gas,168.945,0.001,2351
2013,WI,Commercial Cogen,Natural Gas,239.301,0.001,2352
2014,WI,Commercial Cogen,Natural Gas,363.306,0.001,2353
2015,WI,Commercial Cogen,Natural Gas,184.346,0.001,2354
1990,WI,Commercial Cogen,Other,0,0.021,2355
1991,WI,Commercial Cogen,Other,0,0.021,2356
1992,WI,Commercial Cogen,Other,0,0.005,2357
1993,WI,Commercial Cogen,Other,0,0.004,2358
1994,WI,Commercial Cogen,Other,0,0,2359
1996,WI,Commercial Cogen,Other,3.621,0.038,2360
1997,WI,Commercial Cogen,Other,0.326,0.003,2361
1998,WI,Commercial Cogen,Other,2.132,0.022,2362
1999,WI,Commercial Cogen,Other,1.619,0.016,2363
2000,WI,Commercial Cogen,Other,26.299,0.264,2364
2001,WI,Commercial Cogen,Other,22.921,0.33,2365
2002,WI,Commercial Cogen,Other,23.134,0.365,2366
2003,WI,Commercial Cogen,Other,20.293,0.198,2367
2004,WI,Commercial Cogen,Other,18.799,0.184,2368
2005,WI,Commercial Cogen,Other,19.503,0.191,2369
2006,WI,Commercial Cogen,Other,19.321,0.189,2370
2007,WI,Commercial Cogen,Other,21.547,0.211,2371
2008,WI,Commercial Cogen,Other,0,0.19,2372
2010,WI,Commercial Cogen,Other,2.947,0,2373
2011,WI,Commercial Cogen,Other,0.815,0,2374
2000,WI,Commercial Cogen,Other Biomass,0,0.001,2375
2001,WI,Commercial Cogen,Other Biomass,0,0.001,2376
2002,WI,Commercial Cogen,Other Biomass,0,0.001,2377
2004,WI,Commercial Cogen,Other Biomass,0,0,2378
2005,WI,Commercial Cogen,Other Biomass,0,0,2379
2006,WI,Commercial Cogen,Other Biomass,0,0,2380
2007,WI,Commercial Cogen,Other Biomass,0,0,2381
2008,WI,Commercial Cogen,Other Biomass,0,0,2382
2009,WI,Commercial Cogen,Other Biomass,0,0,2383
2010,WI,Commercial Cogen,Other Biomass,0,0,2384
2011,WI,Commercial Cogen,Other Biomass,0,0,2385
2012,WI,Commercial Cogen,Other Biomass,0,0,2386
2013,WI,Commercial Cogen,Other Biomass,0,0,2387
2014,WI,Commercial Cogen,Other Biomass,0,0,2388
2015,WI,Commercial Cogen,Other Biomass,0,0,2389
1994,WI,Commercial Cogen,Petroleum,5.314,0.017,2390
1995,WI,Commercial Cogen,Petroleum,1.422,0.003,2391
1996,WI,Commercial Cogen,Petroleum,8.241,0.016,2392
1997,WI,Commercial Cogen,Petroleum,0.901,0.002,2393
1998,WI,Commercial Cogen,Petroleum,0.613,0.002,2394
1999,WI,Commercial Cogen,Petroleum,1.596,0.003,2395
2000,WI,Commercial Cogen,Petroleum,42.045,0.083,2396
2001,WI,Commercial Cogen,Petroleum,53.755,0.39,2397
2002,WI,Commercial Cogen,Petroleum,38.828,0.331,2398
2003,WI,Commercial Cogen,Petroleum,0.165,0,2399
2004,WI,Commercial Cogen,Petroleum,0.396,0.001,2400
2005,WI,Commercial Cogen,Petroleum,0.587,0.001,2401
2006,WI,Commercial Cogen,Petroleum,0.06,0,2402
2007,WI,Commercial Cogen,Petroleum,0.256,0,2403
2008,WI,Commercial Cogen,Petroleum,0.137,0,2404
2010,WI,Commercial Cogen,Petroleum,0.044,0,2405
2011,WI,Commercial Cogen,Petroleum,0.064,0,2406
2012,WI,Commercial Cogen,Petroleum,1.733,0,2407
2013,WI,Commercial Cogen,Petroleum,2.613,0.004,2408
2014,WI,Commercial Cogen,Petroleum,10.312,0.013,2409
2015,WI,Commercial Cogen,Petroleum,0.12,0,2410
1995,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2411
1996,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.002,2412
1997,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.002,2413
1998,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.002,2414
1999,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2415
2001,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2416
2002,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2417
2003,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.001,2418
2004,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.001,2419
2005,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2420
2006,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2421
2007,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2422
2008,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0.001,2423
2010,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2424
2011,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2425
2013,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2426
2014,WI,Commercial Cogen,Wood and Wood Derived Fuels,0,0,2427
2013,AK,Commercial Non-Cogen,Coal,443.195,1.004,2428
2013,AK,Commercial Non-Cogen,Natural Gas,0.02,0,2429
2014,AK,Commercial Non-Cogen,Natural Gas,0.001,0,2430
2015,AK,Commercial Non-Cogen,Natural Gas,0,0,2431
2013,AK,Commercial Non-Cogen,Other Biomass,0,0,2432
2014,AK,Commercial Non-Cogen,Other Biomass,0,0,2433
2015,AK,Commercial Non-Cogen,Other Biomass,0,0,2434
1990,AK,Commercial Non-Cogen,Petroleum,0,0.149,2435
1994,AK,Commercial Non-Cogen,Petroleum,5.281,0.014,2436
1995,AK,Commercial Non-Cogen,Petroleum,4.33,0.01,2437
1996,AK,Commercial Non-Cogen,Petroleum,4.308,0.009,2438
1997,AK,Commercial Non-Cogen,Petroleum,3.839,0.008,2439
1998,AK,Commercial Non-Cogen,Petroleum,4.604,0.011,2440
1999,AK,Commercial Non-Cogen,Petroleum,4.572,0.01,2441
2000,AK,Commercial Non-Cogen,Petroleum,5.476,0.011,2442
2001,AK,Commercial Non-Cogen,Petroleum,5.646,0.009,2443
2002,AK,Commercial Non-Cogen,Petroleum,6.045,0.009,2444
2003,AK,Commercial Non-Cogen,Petroleum,0.453,0.001,2445
2004,AK,Commercial Non-Cogen,Petroleum,0.278,0,2446
2005,AK,Commercial Non-Cogen,Petroleum,3.185,0.001,2447
2006,AK,Commercial Non-Cogen,Petroleum,3.263,0.004,2448
2007,AK,Commercial Non-Cogen,Petroleum,0.547,0.001,2449
2008,AK,Commercial Non-Cogen,Petroleum,0.417,0,2450
2009,AK,Commercial Non-Cogen,Petroleum,0.304,0,2451
2010,AK,Commercial Non-Cogen,Petroleum,0.529,0,2452
2011,AK,Commercial Non-Cogen,Petroleum,0.096,0,2453
2012,AK,Commercial Non-Cogen,Petroleum,0.13,0,2454
2013,AK,Commercial Non-Cogen,Petroleum,0.121,0,2455
2014,AK,Commercial Non-Cogen,Petroleum,0.098,0,2456
2015,AK,Commercial Non-Cogen,Petroleum,0.076,0,2457
2003,AR,Commercial Non-Cogen,Natural Gas,2.775,0,2458
2004,AR,Commercial Non-Cogen,Natural Gas,1.062,0,2459
2005,AR,Commercial Non-Cogen,Natural Gas,0.598,0,2460
2006,AR,Commercial Non-Cogen,Natural Gas,0.569,0,2461
2007,AR,Commercial Non-Cogen,Natural Gas,0.286,0,2462
2003,AR,Commercial Non-Cogen,Other Biomass,0,0,2463
2004,AR,Commercial Non-Cogen,Other Biomass,0,0,2464
2005,AR,Commercial Non-Cogen,Other Biomass,0,0,2465
2006,AR,Commercial Non-Cogen,Other Biomass,0,0,2466
2007,AR,Commercial Non-Cogen,Other Biomass,0,0,2467
2003,AZ,Commercial Non-Cogen,Natural Gas,0.337,0,2468
2004,AZ,Commercial Non-Cogen,Natural Gas,0.018,0,2469
2005,AZ,Commercial Non-Cogen,Natural Gas,0.006,0,2470
2006,AZ,Commercial Non-Cogen,Natural Gas,0.003,0,2471
2007,AZ,Commercial Non-Cogen,Natural Gas,0.009,0,2472
2008,AZ,Commercial Non-Cogen,Natural Gas,0.001,0,2473
2009,AZ,Commercial Non-Cogen,Natural Gas,0.137,0,2474
2010,AZ,Commercial Non-Cogen,Natural Gas,0.044,0,2475
2011,AZ,Commercial Non-Cogen,Natural Gas,0.057,0,2476
2012,AZ,Commercial Non-Cogen,Natural Gas,0.088,0,2477
2013,AZ,Commercial Non-Cogen,Natural Gas,0.04,0,2478
2014,AZ,Commercial Non-Cogen,Natural Gas,0.028,0,2479
2015,AZ,Commercial Non-Cogen,Natural Gas,0.037,0,2480
2003,AZ,Commercial Non-Cogen,Petroleum,0.153,0,2481
2004,AZ,Commercial Non-Cogen,Petroleum,0.02,0,2482
2005,AZ,Commercial Non-Cogen,Petroleum,0.01,0,2483
2006,AZ,Commercial Non-Cogen,Petroleum,0.004,0,2484
2007,AZ,Commercial Non-Cogen,Petroleum,0.247,0,2485
2008,AZ,Commercial Non-Cogen,Petroleum,0.022,0,2486
2009,AZ,Commercial Non-Cogen,Petroleum,0.14,0,2487
2010,AZ,Commercial Non-Cogen,Petroleum,0.075,0,2488
2011,AZ,Commercial Non-Cogen,Petroleum,0.093,0,2489
2012,AZ,Commercial Non-Cogen,Petroleum,0.052,0,2490
2013,AZ,Commercial Non-Cogen,Petroleum,0.038,0,2491
2014,AZ,Commercial Non-Cogen,Petroleum,0.03,0,2492
2015,AZ,Commercial Non-Cogen,Petroleum,0.029,0,2493
1990,CA,Commercial Non-Cogen,Natural Gas,0.144,0,2494
1991,CA,Commercial Non-Cogen,Natural Gas,0.144,0,2495
1992,CA,Commercial Non-Cogen,Natural Gas,0.144,0,2496
1993,CA,Commercial Non-Cogen,Natural Gas,0.054,0,2497
1994,CA,Commercial Non-Cogen,Natural Gas,0.066,0,2498
1995,CA,Commercial Non-Cogen,Natural Gas,0.001,0,2499
1996,CA,Commercial Non-Cogen,Natural Gas,0,0,2500
1998,CA,Commercial Non-Cogen,Natural Gas,0.002,0,2501
2005,CA,Commercial Non-Cogen,Natural Gas,12.434,0,2502
2006,CA,Commercial Non-Cogen,Natural Gas,13.415,0,2503
2007,CA,Commercial Non-Cogen,Natural Gas,5.685,0,2504
2010,CA,Commercial Non-Cogen,Natural Gas,0.204,0,2505
2011,CA,Commercial Non-Cogen,Natural Gas,134.344,0.001,2506
2012,CA,Commercial Non-Cogen,Natural Gas,156.162,0.001,2507
2013,CA,Commercial Non-Cogen,Natural Gas,162.079,0.001,2508
2014,CA,Commercial Non-Cogen,Natural Gas,23.973,0,2509
2015,CA,Commercial Non-Cogen,Natural Gas,23.705,0,2510
1990,CA,Commercial Non-Cogen,Other,0,0,2511
1991,CA,Commercial Non-Cogen,Other,0,0,2512
1992,CA,Commercial Non-Cogen,Other,0,0,2513
1993,CA,Commercial Non-Cogen,Other,0,0,2514
1994,CA,Commercial Non-Cogen,Other,0,0,2515
1995,CA,Commercial Non-Cogen,Other Biomass,0,0,2516
1996,CA,Commercial Non-Cogen,Other Biomass,0,0,2517
1997,CA,Commercial Non-Cogen,Other Biomass,0,0,2518
1998,CA,Commercial Non-Cogen,Other Biomass,0,0,2519
1999,CA,Commercial Non-Cogen,Other Biomass,0,0,2520
2000,CA,Commercial Non-Cogen,Other Biomass,0,0,2521
2001,CA,Commercial Non-Cogen,Other Biomass,0,0,2522
2002,CA,Commercial Non-Cogen,Other Biomass,0,0.001,2523
2003,CA,Commercial Non-Cogen,Other Biomass,0,0.001,2524
2004,CA,Commercial Non-Cogen,Other Biomass,0,0,2525
2005,CA,Commercial Non-Cogen,Other Biomass,0,0.001,2526
2006,CA,Commercial Non-Cogen,Other Biomass,0,0,2527
2007,CA,Commercial Non-Cogen,Other Biomass,0,0,2528
2008,CA,Commercial Non-Cogen,Other Biomass,0,0.001,2529
2009,CA,Commercial Non-Cogen,Other Biomass,0,0,2530
2010,CA,Commercial Non-Cogen,Other Biomass,0,0,2531
2011,CA,Commercial Non-Cogen,Other Biomass,0,0.006,2532
2012,CA,Commercial Non-Cogen,Other Biomass,0,0.005,2533
2013,CA,Commercial Non-Cogen,Other Biomass,0,0.005,2534
2014,CA,Commercial Non-Cogen,Other Biomass,0,0.005,2535
2015,CA,Commercial Non-Cogen,Other Biomass,0,0.004,2536
1990,CA,Commercial Non-Cogen,Petroleum,0,0,2537
1991,CA,Commercial Non-Cogen,Petroleum,0,0,2538
1992,CA,Commercial Non-Cogen,Petroleum,0,0,2539
1993,CA,Commercial Non-Cogen,Petroleum,0,0,2540
1994,CA,Commercial Non-Cogen,Petroleum,0,0,2541
2012,CA,Commercial Non-Cogen,Petroleum,0.26,0,2542
2013,CA,Commercial Non-Cogen,Petroleum,0.254,0,2543
1990,CO,Commercial Non-Cogen,Other,0,0,2544
1991,CO,Commercial Non-Cogen,Other,0,0,2545
1992,CO,Commercial Non-Cogen,Other,0,0,2546
1993,CO,Commercial Non-Cogen,Other,0,0,2547
1994,CO,Commercial Non-Cogen,Other,0,0,2548
1995,CO,Commercial Non-Cogen,Other Biomass,0,0,2549
1996,CO,Commercial Non-Cogen,Other Biomass,0,0,2550
1997,CO,Commercial Non-Cogen,Other Biomass,0,0,2551
1998,CO,Commercial Non-Cogen,Other Biomass,0,0,2552
1999,CO,Commercial Non-Cogen,Other Biomass,0,0,2553
2000,CO,Commercial Non-Cogen,Other Biomass,0,0,2554
2001,CO,Commercial Non-Cogen,Other Biomass,0,0,2555
1996,CT,Commercial Non-Cogen,Coal,29.819,0.118,2556
1997,CT,Commercial Non-Cogen,Coal,30.716,0.113,2557
1998,CT,Commercial Non-Cogen,Coal,15.156,0.055,2558
1999,CT,Commercial Non-Cogen,Coal,25.013,0.103,2559
1999,CT,Commercial Non-Cogen,Natural Gas,0.5,0,2560
2012,CT,Commercial Non-Cogen,Natural Gas,3.596,0,2561
2013,CT,Commercial Non-Cogen,Natural Gas,2.06,0,2562
2014,CT,Commercial Non-Cogen,Natural Gas,0.333,0,2563
2015,CT,Commercial Non-Cogen,Natural Gas,1.471,0,2564
1996,CT,Commercial Non-Cogen,Other,319.187,0.51,2565
1997,CT,Commercial Non-Cogen,Other,316.261,0.518,2566
1998,CT,Commercial Non-Cogen,Other,329.357,0.549,2567
1999,CT,Commercial Non-Cogen,Other,331.91,0.529,2568
2013,CT,Commercial Non-Cogen,Other,55.038,0.104,2569
2014,CT,Commercial Non-Cogen,Other,49.68,0.092,2570
2015,CT,Commercial Non-Cogen,Other,11.318,0.018,2571
1991,CT,Commercial Non-Cogen,Petroleum,0,0.014,2572
2012,CT,Commercial Non-Cogen,Petroleum,0.019,0,2573
2013,CT,Commercial Non-Cogen,Petroleum,1.864,0.003,2574
2014,CT,Commercial Non-Cogen,Petroleum,1.031,0.002,2575
2015,CT,Commercial Non-Cogen,Petroleum,0.479,0.001,2576
2013,CT,Commercial Non-Cogen,Wood and Wood Derived Fuels,0,0,2577
2014,CT,Commercial Non-Cogen,Wood and Wood Derived Fuels,0,0,2578
2015,CT,Commercial Non-Cogen,Wood and Wood Derived Fuels,0,0,2579
2012,DC,Commercial Non-Cogen,Natural Gas,55.207,0,2580
2013,DC,Commercial Non-Cogen,Natural Gas,48.726,0,2581
2006,FL,Commercial Non-Cogen,Natural Gas,0.103,0,2582
2007,FL,Commercial Non-Cogen,Natural Gas,0.021,0,2583
2008,FL,Commercial Non-Cogen,Natural Gas,0.037,0,2584
2009,FL,Commercial Non-Cogen,Natural Gas,2.267,0,2585
2010,FL,Commercial Non-Cogen,Natural Gas,1.776,0,2586
2011,FL,Commercial Non-Cogen,Natural Gas,1.839,0,2587
2012,FL,Commercial Non-Cogen,Natural Gas,1.662,0,2588
2013,FL,Commercial Non-Cogen,Natural Gas,1.565,0,2589
2014,FL,Commercial Non-Cogen,Natural Gas,1.906,0,2590
2015,FL,Commercial Non-Cogen,Natural Gas,0.049,0,2591
1990,FL,Commercial Non-Cogen,Other,0,0,2592
1991,FL,Commercial Non-Cogen,Other,0,0,2593
1992,FL,Commercial Non-Cogen,Other,0,0,2594
1993,FL,Commercial Non-Cogen,Other,0,0,2595
1994,FL,Commercial Non-Cogen,Other,0,0,2596
1995,FL,Commercial Non-Cogen,Other Biomass,0,0,2597
1996,FL,Commercial Non-Cogen,Other Biomass,0,0,2598
1997,FL,Commercial Non-Cogen,Other Biomass,0,0,2599
1998,FL,Commercial Non-Cogen,Other Biomass,0,0,2600
1999,FL,Commercial Non-Cogen,Other Biomass,0,0,2601
2000,FL,Commercial Non-Cogen,Other Biomass,0,0,2602
2001,FL,Commercial Non-Cogen,Other Biomass,0,0,2603
2002,FL,Commercial Non-Cogen,Other Biomass,0,0,2604
2003,FL,Commercial Non-Cogen,Other Biomass,0,0,2605
2013,FL,Commercial Non-Cogen,Other Biomass,0,0,2606
2014,FL,Commercial Non-Cogen,Other Biomass,0,0,2607
2015,FL,Commercial Non-Cogen,Other Biomass,0,0,2608
1990,GA,Commercial Non-Cogen,Natural Gas,0,0,2609
1992,GA,Commercial Non-Cogen,Natural Gas,0,0,2610
1993,GA,Commercial Non-Cogen,Natural Gas,0,0,2611
1994,GA,Commercial Non-Cogen,Natural Gas,0,0,2612
2009,GA,Commercial Non-Cogen,Other Biomass,0,0,2613
2010,GA,Commercial Non-Cogen,Other Biomass,0,0,2614
2011,GA,Commercial Non-Cogen,Other Biomass,0,0,2615
2012,GA,Commercial Non-Cogen,Other Biomass,0,0,2616
2013,GA,Commercial Non-Cogen,Other Biomass,0,0,2617
2014,GA,Commercial Non-Cogen,Other Biomass,0,0,2618
2015,GA,Commercial Non-Cogen,Other Biomass,0,0,2619
1990,GA,Commercial Non-Cogen,Petroleum,1.637,0.005,2620
1991,GA,Commercial Non-Cogen,Petroleum,3.227,0.005,2621
1992,GA,Commercial Non-Cogen,Petroleum,1.65,0.004,2622
1993,GA,Commercial Non-Cogen,Petroleum,15.242,0.049,2623
1994,GA,Commercial Non-Cogen,Petroleum,3.156,0.005,2624
1995,GA,Commercial Non-Cogen,Petroleum,9.187,0.019,2625
1996,GA,Commercial Non-Cogen,Petroleum,5.137,0.009,2626
1997,GA,Commercial Non-Cogen,Petroleum,4.663,0.009,2627
1998,GA,Commercial Non-Cogen,Petroleum,12.313,0.029,2628
1999,GA,Commercial Non-Cogen,Petroleum,12.805,0.027,2629
2000,GA,Commercial Non-Cogen,Petroleum,15.706,0.03,2630
2001,GA,Commercial Non-Cogen,Petroleum,1.939,0.001,2631
2002,GA,Commercial Non-Cogen,Petroleum,1.582,0.002,2632
2003,GA,Commercial Non-Cogen,Petroleum,2.031,0.003,2633
2004,GA,Commercial Non-Cogen,Petroleum,2.166,0.003,2634
2005,GA,Commercial Non-Cogen,Petroleum,7.127,0.009,2635
2006,GA,Commercial Non-Cogen,Petroleum,3.111,0.004,2636
2007,GA,Commercial Non-Cogen,Petroleum,3.155,0.005,2637
2008,GA,Commercial Non-Cogen,Petroleum,1.452,0.002,2638
2009,GA,Commercial Non-Cogen,Petroleum,1.476,0.001,2639
2010,GA,Commercial Non-Cogen,Petroleum,1.475,0.001,2640
2011,GA,Commercial Non-Cogen,Petroleum,1.207,0,2641
2012,GA,Commercial Non-Cogen,Petroleum,1.365,0,2642
2013,GA,Commercial Non-Cogen,Petroleum,1.038,0.001,2643
2014,GA,Commercial Non-Cogen,Petroleum,1.452,0.001,2644
2015,GA,Commercial Non-Cogen,Petroleum,1.926,0.003,2645
2004,HI,Commercial Non-Cogen,Other,192.615,0,2646
2005,HI,Commercial Non-Cogen,Other,166.416,0.018,2647
2006,HI,Commercial Non-Cogen,Other,192.763,0.018,2648
2007,HI,Commercial Non-Cogen,Other,172.866,0.016,2649
2008,HI,Commercial Non-Cogen,Other,226.056,0.019,2650
2009,HI,Commercial Non-Cogen,Other,223.056,0.02,2651
2010,HI,Commercial Non-Cogen,Other,215.7,0.019,2652
2011,HI,Commercial Non-Cogen,Other,223.858,0.02,2653
2012,HI,Commercial Non-Cogen,Other,177.639,0.047,2654
2013,HI,Commercial Non-Cogen,Other,258.861,0.046,2655
2014,HI,Commercial Non-Cogen,Other,265.374,0.041,2656
2015,HI,Commercial Non-Cogen,Other,260.228,0.04,2657
2004,HI,Commercial Non-Cogen,Petroleum,1.45,0,2658
2005,HI,Commercial Non-Cogen,Petroleum,1.841,0,2659
2006,HI,Commercial Non-Cogen,Petroleum,0.848,0,2660
2007,HI,Commercial Non-Cogen,Petroleum,1.548,0,2661
2008,HI,Commercial Non-Cogen,Petroleum,1.581,0,2662
2009,HI,Commercial Non-Cogen,Petroleum,1.803,0,2663
2010,HI,Commercial Non-Cogen,Petroleum,1.583,0,2664
2011,HI,Commercial Non-Cogen,Petroleum,1.501,0,2665
2012,HI,Commercial Non-Cogen,Petroleum,1.521,0,2666
2013,HI,Commercial Non-Cogen,Petroleum,2.244,0,2667
2014,HI,Commercial Non-Cogen,Petroleum,2.404,0,2668
2015,HI,Commercial Non-Cogen,Petroleum,3.999,0.001,2669
1991,IA,Commercial Non-Cogen,Natural Gas,0.028,0,2670
1992,IA,Commercial Non-Cogen,Natural Gas,0.028,0,2671
