sid,cid
676,6
677,7
678,8
679,9
680,10
681,11
682,12
683,13
684,14
685,15
686,16
687,17
688,18
689,19
690,20
691,21
692,22
693,23
694,24
695,25
696,26
697,27
698,28
699,29
700,30
701,31
702,32
703,33
704,34
705,35
706,36
707,37
708,38
709,39
710,40
711,41
712,42
713,43
714,44
715,45
716,46
717,47
718,48
719,49
720,50
721,51
722,52
723,53
724,54
725,55
726,56
727,57
728,58
729,59
730,60
731,61
732,62
733,63
734,64
735,65
736,66
737,67
738,68
739,69
740,70
741,71
742,72
743,73
744,74
745,75
746,76
747,77
748,78
749,79
750,80
751,81
752,82
753,83
754,84
755,85
756,86
757,87
758,88
759,89
760,0
761,1
762,2
763,3
764,4
765,5
766,6
767,7
768,8
769,9
770,10
771,11
772,12
773,13
774,14
775,15
776,16
777,17
778,18
779,19
780,20
781,21
782,22
783,23
784,24
785,25
786,26
787,27
788,28
789,29
790,30
791,31
792,32
793,33
794,34
795,35
796,36
797,37
798,38
799,39
800,40
801,41
802,42
803,43
804,44
805,45
806,46
807,47
808,48
809,49
810,50
811,51
812,52
813,53
814,54
815,55
816,56
817,57
818,58
819,59
820,60
821,61
822,62
823,63
824,64
825,65
826,66
827,67
828,68
829,69
830,70
831,71
832,72
833,73
834,74
835,75
836,76
837,77
838,78
839,79
840,80
841,81
842,82
843,83
844,84
845,85
846,86
847,87
848,88
849,89
850,0
850,1
850,2
850,3
850,4
850,5
850,6
850,7
850,8
850,9
850,10
850,11
850,12
850,13
850,14
850,15
850,16
850,17
850,18
850,19
850,20
850,21
850,22
850,23
850,24
850,25
850,26
850,27
850,28
850,29
851,30
851,31
851,32
851,33
851,34
851,35
851,36
851,37
851,38
851,39
851,40
851,41
851,42
851,43
851,44
851,45
851,46
851,47
851,48
851,49
851,50
851,51
851,52
851,53
851,54
851,55
851,56
851,57
851,58
851,59
852,60
852,61
852,62
852,63
852,64
852,65
852,66
852,67
852,68
852,69
852,70
852,71
852,72
852,73
852,74
852,75
852,76
852,77
852,78
852,79
852,80
852,81
852,82
852,83
852,84
852,85
852,86
852,87
852,88
852,89
853,0
853,1
854,2
854,3
855,4
855,5
856,6
856,7
857,8
857,9
858,10
858,11
859,12
859,13
860,14
860,15
861,16
861,17
862,18
862,19
863,20
864,21
865,22
866,23
867,24
868,25
869,26
870,27
871,28
872,29
873,30
874,31
875,32
876,33
877,34
878,35
879,36
880,37
881,38
882,39
883,40
884,41
885,42
886,43
887,44
888,45
889,46
890,47
891,48
892,49
893,50
894,51
895,52
896,53
897,54
898,55
899,56
900,57
901,58
902,59
903,60
904,61
905,62
906,63
907,64
908,65
909,66
910,67
911,68
912,69
913,70
914,71
915,72
916,73
917,74
918,75
919,76
920,77
921,78
922,79
923,80
923,81
924,82
925,83
926,84
926,85
926,86
927,87
927,88
928,89
929,0
929,1
929,2
929,3
929,4
929,5
929,6
929,7
929,8
929,9
930,10
930,11
930,12
930,13
930,14
930,15
930,16
930,17
930,18
930,19
931,20
931,21
931,22
931,23
931,24
931,25
931,26
931,27
931,28
931,29
932,30
932,31
932,32
932,33
932,34
932,35
932,36
932,37
932,38
932,39
933,40
933,41
933,42
933,43
933,44
933,45
933,46
933,47
933,48
933,49
934,50
934,51
934,52
934,53
934,54
934,55
934,56
934,57
934,58
934,59
935,60
935,61
935,62
935,63
935,64
935,65
935,66
935,67
935,68
935,69
936,70
936,71
936,72
936,73
936,74
936,75
936,76
936,77
936,78
936,79
937,80
937,81
937,82
937,83
937,84
937,85
937,86
937,87
937,88
937,89
938,0
938,1
939,2
939,3
940,4
940,5
941,6
941,7
942,8
942,9
943,10
943,11
944,12
944,13
945,14
945,15
946,16
946,17
947,18
947,19
948,20
949,21
950,22
951,23
952,24
953,25
954,26
955,27
956,28
957,29
958,30
959,31
960,32
961,33
962,34
963,35
964,36
965,37
966,38
967,39
968,40
969,41
970,42
971,43
972,44
973,45
974,46
975,47
976,48
977,49
978,50
979,51
980,52
981,53
982,54
983,55
984,56
985,57
986,58
987,59
988,60
989,61
990,62
991,63
992,64
993,65
994,66
995,67
996,68
997,69
998,70
999,71
1000,72
1001,73
1002,74
1003,75
1004,76
1005,77
1006,78
1007,79
1008,80
1008,81
1009,82
1010,83
1011,84
1011,85
1011,86
1012,87
1012,88
1013,89
1014,0
1014,5
1014,10
1014,15
1014,20
1014,25
1015,1
1015,6
1015,11
1015,16
1015,21
1015,26
1016,2
1016,7
1016,12
1016,17
1016,22
1016,27
1017,3
1017,8
1017,13
1017,18
1017,23
1017,28
1018,4
1018,9
1018,14
1018,19
1018,24
1018,29
1019,30
1019,35
1019,40
1019,45
1019,50
1019,55
1020,31
1020,36
1020,41
1020,46
1020,51
1020,56
1021,32
1021,37
1021,42
1021,47
1021,52
1021,57
1022,33
1022,38
1022,43
1022,48
1022,53
1022,58
1023,34
1023,39
1023,44
1023,49
1023,54
1023,59
1024,60
1024,65
1024,70
1024,75
1024,80
1024,85
1025,61
1025,66
1025,71
1025,76
1025,81
1025,86
1026,62
1026,67
1026,72
1026,77
1026,82
1026,87
1027,63
1027,68
1027,73
1027,78
1027,83
1027,88
1028,64
1028,69
1028,74
1028,79
1028,84
1028,89
1029,0
1030,1
1031,2
1032,3
1033,4
1034,5
1035,6
1036,7
1037,8
1038,9
1039,10
1040,11
1041,12
1042,13
1043,14
1044,15
1045,16
1046,17
1047,18
1048,19
1049,20
1050,21
1051,22
1052,23
1053,24
1054,25
1055,26
1056,27
1057,28
1058,29
1059,30
1060,31
1061,32
1062,33
1063,34
1064,35
1065,36
1066,37
1067,38
1068,39
1069,40
1070,41
1071,42
1072,43
1073,44
1074,45
1075,46
1076,47
1077,48
1078,49
1079,50
1080,51
1081,52
1082,53
1083,54
1084,55
1085,56
1086,57
1087,58
1088,59
1089,60
1090,61
1091,62
1092,63
1093,64
1094,65
1095,66
1096,67
1097,68
1098,69
1099,70
1100,71
1101,72
1102,73
1103,74
1104,75
1105,76
1106,77
1107,78
1108,79
1109,80
1110,81
1111,82
1112,83
1113,84
1114,85
1115,86
1116,87
1117,88
1118,89
1119,0
1119,5
1120,1
1120,6
1121,2
1121,7
1122,3
1122,8
1123,4
1123,9
1124,10
1124,15
1125,11
1125,16
1126,12
1126,17
1127,13
1127,18
1128,14
1128,19
1129,20
1129,25
1130,21
1130,26
1131,22
1131,27
1132,23
1132,28
1133,24
1133,29
1134,30
1134,35
1135,31
1135,36
1136,32
1136,37
1137,33
1137,38
1138,34
1138,39
1139,40
1139,45
1140,41
1140,46
1141,42
1141,47
1142,43
1142,48
1143,44
1143,49
1144,50
1144,55
1145,51
1145,56
1146,52
1146,57
1147,53
1147,58
1148,54
1148,59
1149,60
1149,65
1150,61
1150,66
1151,62
1151,67
1152,63
1152,68
1153,64
1153,69
1154,70
1154,75
1155,71
1155,76
1156,72
1156,77
1157,73
1157,78
1158,74
1158,79
1159,80
1159,85
1160,81
1160,86
1161,82
1161,87
1162,83
1162,88
1163,84
1163,89
1164,0
1165,1
1166,2
1167,3
1168,4
1169,5
1170,6
1171,7
1172,8
1173,9
1174,10
1175,11
1176,12
1177,13
1178,14
1179,15
1180,16
1181,17
1182,18
1183,19
1184,20
1185,21
1186,22
1187,23
1188,24
1189,25
1190,26
1191,27
1192,28
1193,29
1194,30
1195,31
1196,32
1197,33
1198,34
1199,35
1200,36
1201,37
1202,38
1203,39
1204,40
1205,41
1206,42
1207,43
1208,44
1209,45
1210,46
1211,47
1212,48
1213,49
1214,50
1215,51
1216,52
1217,53
1218,54
1219,55
1220,56
1221,57
1222,58
1223,59
1224,60
1225,61
1226,62
1227,63
1228,64
1229,65
1230,66
1231,67
1232,68
1233,69
1234,70
1235,71
1236,72
1237,73
1238,74
1239,75
1240,76
1241,77
1242,78
1243,79
1244,80
1245,81
1246,82
1247,83
1248,84
1249,85
1250,86
1251,87
1252,88
1253,89
1254,0
1254,1
1254,2
1254,3
1254,4
1254,10
1254,11
1254,12
1254,13
1254,14
1254,20
1254,21
1254,22
1254,23
1254,24
1255,5
1255,6
1255,7
1255,8
1255,9
1255,15
1255,16
1255,17
1255,18
1255,19
1255,25
1255,26
1255,27
1255,28
1255,29
1256,30
1256,31
1256,32
1256,33
1256,34
1256,40
1256,41
1256,42
1256,43
1256,44
1256,50
1256,51
1256,52
1256,53
1256,54
1257,35
1257,36
1257,37
1257,38
1257,39
1257,45
1257,46
1257,47
1257,48
1257,49
1257,55
1257,56
1257,57
1257,58
1257,59
1258,60
1258,61
1258,62
1258,63
1258,64
1258,70
1258,71
1258,72
1258,73
1258,74
1258,80
1258,81
1258,82
1258,83
1258,84
1259,65
1259,66
1259,67
1259,68
1259,69
1259,75
1259,76
1259,77
1259,78
1259,79
1259,85
1259,86
1259,87
1259,88
1259,89
1260,0
1260,1
1261,2
1261,3
1262,4
1263,5
1264,6
1264,7
1265,8
1265,9
1266,10
1266,11
1267,12
1267,13
1268,14
1269,15
1270,16
1270,17
1271,18
1271,19
1272,20
1273,21
1274,22
1275,23
1276,24
1277,25
1278,26
1279,27
1280,28
1281,29
1282,30
1283,31
1284,32
1285,33
1286,34
1287,35
1288,36
1289,37
1290,38
1291,39
1292,40
1293,41
1294,42
1295,43
1296,44
1297,45
1298,46
1299,47
1300,48
1301,49
1302,50
1303,51
1304,52
1305,53
1306,54
1307,55
1308,56
1309,57
1310,58
1311,59
1312,60
1313,61
1314,62
1315,63
1316,64
1317,65
1318,66
1319,67
1320,68
1321,69
1322,70
1323,71
1324,72
1325,73
1326,74
1327,75
1328,76
1329,77
1330,78
1331,79
1332,80
1332,81
1333,82
1334,83
1335,84
1336,85
1336,86
1337,87
1337,88
1338,89
1339,0
1339,1
1339,2
1339,3
1339,4
1340,5
1340,6
1340,7
1340,8
1340,9
1341,10
1341,11
1341,12
1341,13
1341,14
1342,15
1342,16
1342,17
1342,18
1342,19
1343,20
1343,21
1343,22
1343,23
1343,24
1344,25
1344,26
1344,27
1344,28
1344,29
1345,30
1345,31
1345,32
1345,33
1345,34
1346,35
1346,36
1346,37
1346,38
1346,39
1347,40
1347,41
1347,42
1347,43
1347,44
1348,45
1348,46
1348,47
1348,48
1348,49
1349,50
1349,51
1349,52
1349,53
1349,54
1350,55
1350,56
1350,57
1350,58
1350,59
1351,60
1351,61
1351,62
1351,63
1351,64
1352,65
1352,66
1352,67
1352,68
1352,69
1353,70
1353,71
1353,72
1353,73
1353,74
1354,75
1354,76
1354,77
1354,78
1354,79
1355,80
1355,81
1355,82
1355,83
1355,84
1356,85
1356,86
1356,87
1356,88
1356,89
1357,0
1357,1
1358,2
1358,3
1359,4
1360,5
1361,6
1361,7
1362,8
1362,9
1363,10
1363,11
1364,12
1364,13
1365,14
1366,15
1367,16
1367,17
1368,18
1368,19
1369,20
1370,21
1371,22
1372,23
1373,24
1374,25
1375,26
1376,27
1377,28
1378,29
1379,30
1380,31
1381,32
1382,33
1383,34
1384,35
1385,36
1386,37
1387,38
1388,39
1389,40
1390,41
1391,42
1392,43
1393,44
1394,45
1395,46
1396,47
1397,48
1398,49
1399,50
1400,51
1401,52
1402,53
1403,54
1404,55
1405,56
1406,57
1407,58
1408,59
1409,60
1410,61
1411,62
1412,63
1413,64
1414,65
1415,66
1416,67
1417,68
1418,69
1419,70
1420,71
1421,72
1422,73
1423,74
1424,75
1425,76
1426,77
1427,78
1428,79
1429,80
1429,81
1430,82
1431,83
1432,84
1433,85
1433,86
1434,87
1434,88
1435,89
1436,0
1436,10
1436,20
1437,1
1437,11
1437,21
1438,2
1438,12
1438,22
1439,3
1439,13
1439,23
1440,4
1440,14
1440,24
1441,5
1441,15
1441,25
1442,6
1442,16
1442,26
1443,7
1443,17
1443,27
1444,8
1444,18
1444,28
1445,9
1445,19
1445,29
1446,30
1446,40
1446,50
1447,31
1447,41
1447,51
1448,32
1448,42
1448,52
1449,33
1449,43
1449,53
1450,34
1450,44
1450,54
1451,35
1451,45
1451,55
1452,36
1452,46
1452,56
1453,37
1453,47
1453,57
1454,38
1454,48
1454,58
1455,39
1455,49
1455,59
1456,60
1456,70
1456,80
1457,61
1457,71
1457,81
1458,62
1458,72
1458,82
1459,63
1459,73
1459,83
1460,64
1460,74
1460,84
1461,65
1461,75
1461,85
1462,66
1462,76
1462,86
1463,67
1463,77
1463,87
1464,68
1464,78
1464,88
1465,69
1465,79
1465,89
1466,0
1467,1
1468,2
1469,3
1470,4
1471,5
1472,6
1473,7
1474,8
1475,9
1476,10
1477,11
1478,12
1479,13
1480,14
1481,15
1482,16
1483,17
1484,18
1485,19
1486,20
1487,21
1488,22
1489,23
1490,24
1491,25
1492,26
1493,27
1494,28
1495,29
1496,30
1497,31
1498,32
1499,33
1500,34
1501,35
1502,36
1503,37
1504,38
1505,39
1506,40
1507,41
1508,42
1509,43
1510,44
1511,45
1512,46
1513,47
1514,48
1515,49
1516,50
1517,51
1518,52
1519,53
1520,54
1521,55
1522,56
1523,57
1524,58
1525,59
1526,60
1527,61
1528,62
1529,63
1530,64
1531,65
1532,66
1533,67
1534,68
1535,69
1536,70
1537,71
1538,72
1539,73
1540,74
1541,75
1542,76
1543,77
1544,78
1545,79
1546,80
1547,81
1548,82
1549,83
1550,84
1551,85
1552,86
1553,87
1554,88
1555,89
1556,0
1557,1
1558,2
1559,3
1560,4
1561,5
1562,6
1563,7
1564,8
1565,9
1566,10
1567,11
1568,12
1569,13
1570,14
1571,15
1572,16
1573,17
1574,18
1575,19
1576,20
1577,21
1578,22
1579,23
1580,24
1581,25
1582,26
1583,27
1584,28
1585,29
1586,30
1587,31
1588,32
1589,33
1590,34
1591,35
1592,36
1593,37
1594,38
1595,39
1596,40
1597,41
1598,42
1599,43
1600,44
1601,45
1602,46
1603,47
1604,48
1605,49
1606,50
1607,51
1608,52
1609,53
1610,54
1611,55
1612,56
1613,57
1614,58
1615,59
1616,60
1617,61
1618,62
1619,63
1620,64
1621,65
1622,66
1623,67
1624,68
1625,69
1626,70
1627,71
1628,72
1629,73
1630,74
1631,75
1632,76
1633,77
1634,78
1635,79
1636,80
1637,81
1638,82
1639,83
1640,84
1641,85
1642,86
1643,87
1644,88
1645,89
1646,0
1647,1
1648,2
1649,3
1650,4
1651,5
1652,6
1653,7
1654,8
1655,9
1656,10
1657,11
1658,12
1659,13
1660,14
1661,15
1662,16
1663,17
1664,18
1665,19
1666,20
1667,21
1668,22
1669,23
1670,24
1671,25
1672,26
1673,27
1674,28
1675,29
1676,30
1677,31
1678,32
1679,33
1680,34
1681,35
1682,36
1683,37
1684,38
1685,39
1686,40
1687,41
1688,42
1689,43
1690,44
1691,45
1692,46
1693,47
1694,48
1695,49
1696,50
1697,51
1698,52
1699,53
1700,54
1701,55
1702,56
1703,57
1704,58
1705,59
1706,60
1707,61
1708,62
1709,63
1710,64
1711,65
1712,66
1713,67
1714,68
1715,69
1716,70
1717,71
1718,72
1719,73
1720,74
1721,75
1722,76
1723,77
1724,78
1725,79
1726,80
1727,81
1728,82
1729,83
1730,84
1731,85
1732,86
1733,87
1734,88
1735,89
